owner_org,รหัส Dataset ID,title,ช่วงเวลาข้อมูล time_horizon,ขอบข่ายข้อมูล domain,ชื่อประเภทข้อมูล Data_Entity,ภัยที่เกี่ยวข้อง Related Hazards,สาขา Sectors,มิติด้านเวลา Temporal Dimension,ช่วงเวลา Time Period,หน่วย Unit,ความละเอียดเชิงเวลา Temporal Resolution,geo_coverage,ความละเอียดเชิงพื้นที่ Spatial Resolution,data_format,accessible_condition,url,ข้อจำกัด Limitations / Gaps,หมายเหตุ Remarks,data_source,ประเภทแหล่งที่มา Source_Type,data_type,maintainer,maintainer_email,tag_string,notes,objective,update_frequency_unit,update_frequency_interval,data_category,license_id,created_date,last_updated_date,data_support,data_collect,data_language,high_value_dataset,reference_data,endorsement_status,validation_flag,limitations_statement
DCCE,DCCE_2_1,"ปริมาณน้ำฝน (GridData, historical)",Forward-looking,Physical Climate (DOM_010),CLIMATE_DRIVER,Drought (ภัยแล้ง) ,Cross-cutting (หลายสาขา),Historical,1981-2023,mm,Daily; Monthly,National,25 km (Grid),NetCDF,Restricted,https://clim-webbased.dcce.go.th/DataServices,-,Model/Source: GridData · Variable: pr · Scenario: historical,Website Climate Data Visualization,Website,,DCCE,,,,,,,,,,,,,,,,Baseline-Draft,Unverified-Baseline,-
DCCE,DCCE_2_10,ความชื้นสัมพัทธ์ (WRF-Chem),Forward-looking,Physical Climate (DOM_010),CLIMATE_DRIVER,ภัยแล้ง (Drought); ไฟป่า (Wildfire),Cross-cutting (หลายสาขา),Historical; Projected,1981-2014 (historical); 2015-2099 (ssp585),%,Daily; Monthly,National,25 km (Grid),NetCDF,Restricted,https://clim-webbased.dcce.go.th/DataServices,มีเฉพาะ ssp585,Model/Source: WRF-Chem · Variable: hurs,Website Climate Data Visualization,Website,,DCCE,,,,,,,,,,,,,,,,Baseline-Draft,Unverified-Baseline,มีเฉพาะ ssp585
DCCE,DCCE_2_11,"ปริมาณน้ำฝน (RegCM5, EC-Earth3-Veg)",Forward-looking,Physical Climate (DOM_010),CLIMATE_DRIVER,น้ำท่วม (Flood); ภัยแล้ง (Drought),Cross-cutting (หลายสาขา),Historical; Projected,1960-2014 (historical); 2015-2099 (ssp245); 2015-2099 (ssp585),mm,Daily; Monthly,National,25 km (Grid),NetCDF,Restricted,https://clim-webbased.dcce.go.th/DataServices,-,Model/Source: RegCM5(Driving Model: EC-Earth3-Veg) · Variable: pr,Website Climate Data Visualization,Website,,DCCE,,,,,,,,,,,,,,,,Baseline-Draft,Unverified-Baseline,-
DCCE,DCCE_2_12,"อุณหภูมิสูงสุด (RegCM5, EC-Earth3-Veg)",Forward-looking,Physical Climate (DOM_010),CLIMATE_DRIVER,คลื่นความร้อน (Heat); ภัยแล้ง (Drought),Cross-cutting (หลายสาขา),Historical; Projected,1960-2014 (historical); 2015-2099 (ssp245); 2015-2099 (ssp585),°C,Daily; Monthly,National,25 km (Grid),NetCDF,Restricted,https://clim-webbased.dcce.go.th/DataServices,-,Model/Source: RegCM5 (EC-Earth3-Veg) · Variable: tasmax,Website Climate Data Visualization,Website,,DCCE,,,,,,,,,,,,,,,,Baseline-Draft,Unverified-Baseline,-
DCCE,DCCE_2_13,"อุณหภูมิต่ำสุด (RegCM5, EC-Earth3-Veg)",Forward-looking,Physical Climate (DOM_010),CLIMATE_DRIVER,คลื่นความเย็น (Cold spell); คลื่นความร้อน (Heat),Cross-cutting (หลายสาขา),Historical; Projected,1960-2014 (historical); 2015-2099 (ssp245); 2015-2099 (ssp585),°C,Daily; Monthly,National,25 km (Grid),NetCDF,Restricted,https://clim-webbased.dcce.go.th/DataServices,-,Model/Source: RegCM5 (EC-Earth3-Veg) · Variable: tasmin,Website Climate Data Visualization,Website,,DCCE,,,,,,,,,,,,,,,,Baseline-Draft,Unverified-Baseline,-
DCCE,DCCE_2_14,"อุณหภูมิเฉลี่ย (RegCM5, EC-Earth3-Veg)",Forward-looking,Physical Climate (DOM_010),CLIMATE_DRIVER,Multi-hazard,Cross-cutting (หลายสาขา),Historical; Projected,1960-2014 (historical); 2015-2099 (ssp245); 2015-2099 (ssp585),°C,Daily; Monthly,National,25 km (Grid),NetCDF,Restricted,https://clim-webbased.dcce.go.th/DataServices,-,Model/Source: RegCM5 (EC-Earth3-Veg) · Variable: tas,Website Climate Data Visualization,Website,,DCCE,,,,,,,,,,,,,,,,Baseline-Draft,Unverified-Baseline,-
DCCE,DCCE_2_15,"ความชื้นสัมพัทธ์ (RegCM5, EC-Earth3-Veg)",Forward-looking,Physical Climate (DOM_010),CLIMATE_DRIVER,ภัยแล้ง (Drought); ไฟป่า (Wildfire),Cross-cutting (หลายสาขา),Historical; Projected,1960-2014 (historical); 2015-2099 (ssp245); 2015-2099 (ssp585),%,Daily; Monthly,National,25 km (Grid),NetCDF,Restricted,https://clim-webbased.dcce.go.th/DataServices,-,Model/Source: RegCM5 (EC-Earth3-Veg) · Variable: hurs,Website Climate Data Visualization,Website,,DCCE,,,,,,,,,,,,,,,,Baseline-Draft,Unverified-Baseline,-
DCCE,DCCE_2_16,"ปริมาณน้ำฝน (Statistical Downscaling, CMIP6)",Forward-looking,Physical Climate (DOM_010),CLIMATE_DRIVER,น้ำท่วม (Flood); ภัยแล้ง (Drought),Cross-cutting (หลายสาขา),Historical; Projected,1981-2014 (historical); 2015-2100 (ssp245); 2015-2100 (ssp585),mm,Daily; Monthly,National,5 km (Grid),NetCDF,Restricted,https://clim-webbased.dcce.go.th/DataServices,-,Model/Source: Statistical Downscalingจาก CMIP6 GCMs (ACCESS-CM2; MIROC6; MPI-ESM1-2) · Variable: pr,Website Climate Data Visualization,Website,,DCCE,,,,,,,,,,,,,,,,Baseline-Draft,Unverified-Baseline,-
DCCE,DCCE_2_17,"อุณหภูมิสูงสุด (Statistical Downscaling, CMIP6)",Forward-looking,Physical Climate (DOM_010),CLIMATE_DRIVER,คลื่นความร้อน (Heat); ภัยแล้ง (Drought),Cross-cutting (หลายสาขา),Historical; Projected,1981-2014 (historical); 2015-2100 (ssp245); 2015-2100 (ssp585),°C,Daily; Monthly,National,5 km (Grid),NetCDF,Restricted,https://clim-webbased.dcce.go.th/DataServices,-,Model/Source: Statistical Downscaling(ACCESS-CM2; MIROC6; MPI-ESM1-2) · Variable: tasmax,Website Climate Data Visualization,Website,,DCCE,,,,,,,,,,,,,,,,Baseline-Draft,Unverified-Baseline,-
DCCE,DCCE_2_18,"อุณหภูมิต่ำสุด (Statistical Downscaling, CMIP6)",Forward-looking,Physical Climate (DOM_010),CLIMATE_DRIVER,คลื่นความเย็น (Cold spell); คลื่นความร้อน (Heat),Cross-cutting (หลายสาขา),Historical; Projected,1981-2014 (historical); 2015-2100 (ssp245); 2015-2100 (ssp585),°C,Daily; Monthly,National,5 km (Grid),NetCDF,Restricted,https://clim-webbased.dcce.go.th/DataServices,-,Model/Source: Statistical Downscaling(ACCESS-CM2; MIROC6; MPI-ESM1-2) · Variable: tasmin,Website Climate Data Visualization,Website,,DCCE,,,,,,,,,,,,,,,,Baseline-Draft,Unverified-Baseline,-
