data_spec_id,name,serves_requirements,source_datasets,granularity,coverage,frequency,format,access,status,limitations,maintainer,note
DS-01,Provincial composite risk data,REQ-004; REQ-008; REQ-014,DCCE_3_1 to DCCE_3_6,Province,"National, 1960-2100",Annual,CSV,Public,Baseline-Draft / Unverified-Baseline,Two scenario pathways only; composite method not reversible to inputs; CONFIRMED does not carry sub-provincial exposure/vulnerability/risk data,UNKNOWN,"Closing the sub-provincial gap is Brief E-5 (document synthesis) or Brief E-6 (geospatial disaggregation) - not assumed into this spec REQ-004 added 2026-08-20: same DCCE_3_x composite risk index data, folded in with the DEL-2/DEL-13 risk-map cluster merge."
DS-02,Historical climate grids,REQ-033; REQ-042,DCCE_2_1; DCCE_2_2,Grid,"National, 1981-2023",Daily and monthly,Raster,Restricted,Baseline-Draft / Unverified-Baseline,"Raw grids only, no derived statistics; access restriction must be resolved before publication; provenance (station-interpolated vs reanalysis) not recorded",UNKNOWN,"REQ-042's trend view shares this pipeline but displays on the Slow-Onset Hazards page (DEL-4), not the climate-drivers page. REQ-011 was previously (incorrectly) listed here; re-scoped 2026-08-13 to DS-08."
DS-03,(removed) - was Vulnerability and adaptive capacity indicators,,Proxy indicators across several catalog entries,"Mixed, mostly province","UNKNOWN, varies by indicator",UNKNOWN,UNKNOWN,Mixed,No longer applies,No composite index exists; indicator coverage varies by area,UNKNOWN,"REQ-027 (its sole requirement) was removed 2026-08-20: SIT-2.4 collapsed to a pure router link this session, no distinct content requirement remains. Kept struck from the sequence rather than renumbered, matching the DS-10 precedent."
DS-04,Observation data held by other agencies,REQ-030; REQ-031; REQ-044 (deferred scope only),"External - meteorological, space technology, marine and groundwater bodies",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Not currently available to DCCE,UNKNOWN,Not in DCCE catalog; every field unknown until an agreement exists,Not applicable,"REQ-030/031 now explainer + link, not ingestion; a live connection under any of the three needs a formal agreement first, a future budget-contingent option"
DS-05,Climate phenomena monitoring,REQ-032,None - one general-audience article only,Not applicable,None,None,Not applicable,Not applicable,None,"No monitoring feed exists; a source must be established, most likely external",Not applicable,
DS-06,Downscaled climate projections,REQ-035,DCCE_2_11; DCCE_2_16 to DCCE_2_19,"Grid, national","1960-2099 dynamical, 1981-2100 statistical",Daily and monthly,Raster,Restricted,Baseline-Draft / Unverified-Baseline,"National grid resolution, not the high-resolution sub-national product the requirement describes",UNKNOWN,
DS-07,Coastal and marine observations,REQ-043; REQ-045,MD_1_2; DMCR_1_1; DMCR_4_1,UNKNOWN - not recorded in catalog,"Sea level to 2026, erosion to 2025",Annual,Vector and CSV,"Restricted, unrecorded for DMCR_4_1",Baseline-Draft / Unverified-Baseline,Raw observations only; no rate of rise or erosion index derived; spatial resolution unrecorded,UNKNOWN,
DS-08,Historical disaster record,REQ-001; REQ-011; REQ-049,DDPM_2_1,Mooban (village),DDPM historical holdings - exact period unstated,UNKNOWN,Database,Restricted,Baseline-Draft / Unverified-Baseline,"One-way LAO-to-province reporting, no central ground-truthing, no UNDRR-aligned taxonomy; real starting point, not a from-scratch compilation",UNKNOWN,"REQ-001 (DEL-12), REQ-011 (DEL-12, re-scoped from DS-02 2026-08-13), and REQ-049 (Loss and Damage) all draw on the same DDPM records - gather once, use for all three; status corrected 2026-08-13 after DDPM_2_1 surfaced during the deliverable-asset mapping pass"
DS-09,Adaptation measures library,REQ-060; REQ-061,New - compiled from existing publications and new content,Per measure,To be established,UNKNOWN,UNKNOWN,To be decided,New,Cost information will be incomplete; measures must stay findable when cost is unknown,To be assigned,
DS-10,(removed) - was External portal connections,REQ-071,N/A,N/A,N/A,N/A,N/A,N/A,No longer applies,"REQ-071 converted to a curated links page; no live data connection, so this spec no longer applies",Kept struck from the sequence rather than renumbered,
DS-11,Feedback records,REQ-073,New - generated by the platform,Per submission,From launch,Continuous,UNKNOWN,Internal,New,Contains identifiable submitter information; retention and access rules needed before launch,To be assigned,
