Section ID,Node ID,ชื่อโหนด (Thai Title),คำอธิบายเนื้อหา (Content Brief),แหล่งที่มาของข้อมูล (Evidence/Data Source),Technical Asset / URL Origin,ระดับความพร้อมของเนื้อหา (Content Readiness)
1,1.1.1,ภาพรวมความเสี่ยงจากการเปลี่ยนแปลงสภาพภูมิอากาศ,สรุปสถิติภัยพิบัติย้อนหลังและแผนภาพ Risk Profile ระดับประเทศ,DCCE Website (About Us) + NC4 Summary,dcce.go.th/about-us/vision-mission/,Migration-Ready
1,1.1.2,ความเสี่ยงสำคัญ และลำดับความสำคัญในการปรับตัว,สรุป Priority จากแผน NAP และตัวอย่างมาตรการสำคัญ (Flagship Measures),NAP / DCCE Executive Center,dcce.go.th/datacenter/669/,High (Migration)
1,1.2,สืบค้นข้อมูลรายพื้นที่,ระบบค้นหาแบบ Drop-down (จังหวัด -> อำเภอ -> ตำบล) เพื่อส่งต่อไปหน้า Section 4.1,Risk DB / DOPA Index,ccic.dcce.go.th/riskarea,High (Product design required)
2,2.1,สถานการณ์การเปลี่ยนแปลงสภาพภูมิอากาศของประเทศ,สถิติอากาศสุดขั้ว ผลกระทบและความเสียหายย้อนหลัง,NC4 Chapter 1-3 / BTR 1,dcce.go.th/datacenter/657/,High (Synthesis Required)
2,2.2,สรุปโปรไฟล์ของความเสี่ยงรายพื้นที่และรายภาคส่วน,เปรียบเทียบ (Benchmarking) ความเสี่ยงระหว่างพื้นที่และสาขา,Risk DB Composite Index / CRI Report,DCCE_3_1 to DCCE_3_6 (Data Catalog),High (Product design required)
2,2.3,เครื่องมือทางนโยบาย กฎหมาย และการเงิน,ฐานข้อมูลเอกสารกฎหมาย รายการแหล่งทุน และสถานะงบประมาณ,DCCE internal library,DCCE internal library,High (Direct Link)
2,2.4,บริการข้อมูลสำหรับการวางแผน,แผนที่ความเสี่ยงเชิงพื้นที่ (GIS Layers) และคู่มือการตีความข้อมูล,Past projects,"Spatial Risk Map, Climate Hazard Visualization ","Partial (some ready for Integration, synthesis required)"
3,3.1.1,ข้อมูลสังเกตุการณ์,อธิบายประเภทข้อมูลสังเกตการณ์,TMD Weather API / GISTDA  Portal,"api-gateway.gistda.or.th / hpc.tmd.go.th
IPCC
WMO","Ready (API Link, Synthesis required)"
3,3.1.2,ปัจจัยขับเคลื่อนทางภูมิอากาศ,ข้อมูล Climatology และบทอธิบาย Scenarios (RCP/SSP),NC4 Science Chapter / CMIP6 Baseline,IPCC AR6 Baseline (Global Assets),"High (Reference, Synthesis required)"
3,3.1.3,ฉากทัศน์ภูมิอากาศในอนาคต,ข้อมูล Downscaled Data รายจังหวัด และตัวอย่างการใช้งาน,Risk DB Climate Scenarios,IPCC AR6,High (Synthesis required)
3,3.2.1,การวิเคราะห์ความเปราะบางและการเปิดรับภัย,บทอธิบาย Exposure/Sens/Cap และ Damage Function,Risk DB Methodology / CRI Framework,ccic.dcce.go.th/riskarea,"High (Methodology, Synthesis required)"
3,3.2.2,การวิเคราะห์ความเสี่ยง,กรอบการประเมินความเสี่ยงต่างๆ และบทสรุปพื้นที่/ภาคส่วน,Risk DB Methodology,DCCE_3_1 to DCCE_3_6 (Risk Indices),High (Synthesis required)
3,3.2.3,ผลกระทบลูกโซ่,แนวคิดและแผนผัง Impact Chain Analysis รายสาขา,NC4 / Sectoral Research Reports/ Impact chain analysis manual,DCCE Internal library,"Partial (Graphic prep, Synthesis required)"
3,3.2.4,ความสูญเสียและความเสียหาย (Loss and Damage),สรุปสถิติความเสียหายที่เป็นตัวเงินและไม่ใช่ตัวเงิน,DDPM Disaster Records / UNFCCC Framework,DDPM_2_1 / DDPM_2_3 (Data Catalog),"Partial (Data Cleanup, Product Design required)"
3,3.2.5,กรอบทฤษฎีและเอกสารคู่มือ,ระเบียบวิธีประเมินความเสี่ยง ผลกระทบ และ L&D,DCCE Technical Manuals (PDF),DCCE Internal library,High (PDF Link)
3,3.3.1,แนวทางการวางแผนการปรับตัว,คู่มือการออกแบบโครงการ และเกณฑ์ CBA/CEA,Reports from past projects,DCCE Internal library,Partial (Synthesis)
3,3.3.2,เส้นทางกลยุทธ์การปรับตัวของประเทศ (Roadmap),แผนที่นำทางการดำเนินงานตามแผน NAP,NAP Strategy Document,National Adaptation Plan 2018-2037,"High (Doc Link, info graphic)"
3,3.3.3,ห้องสมุดมาตรการปรับตัวตามสาขา,ฐานข้อมูลมาตรการ 100+ มาตรการ พร้อมกรณีศึกษา,Adaptation project piloting reports,DCCE Internal library,"Partial (Curation, Synthesis required)"
3,3.3.4,กรณีศึกษาการวางแผนการปรับตัว,คลังแผนจัดการความเสี่ยงจากการเปลี่ยนแปลงสภาพภูมิอากาศ,Adaptation project piloting reports,DCCE Internal library,Partial (Curation)
3,3.3.5,โครงการที่กำลังดำเนินการ,สถานะการดำเนินงานโครงการปรับตัวระดับประเทศ,Line agency reporting,Adaptation M&E System,Integration-Ready
3,3.4.1,แนวทางการติดตามและประเมินผลการปรับตัว,กรอบทฤษฎี M&E และตัวชี้วัด GGA,GGA / DCCE M&E Framework,DCCE M&E Guidelines,Ready (Methodology)
3,3.4.2,ระบบฐานข้อมูลด้านการติดตามและประเมินผล,การเชื่อมต่อระบบ Adaptation M&E Platform,Adaptation M&E System,Adaptation M&E System,Integration-Ready
3,3.4.3,กรณีศึกษาโครงการปรับตัวที่ประสบความสำเร็จ,คลังบทเรียนจากการดำเนินโครงการที่สำเร็จ,,ecoschool.dcce.go.th / greenhotelthai.com,High
4,4.1,ข้อมูลรายจังหวัด (Provincial Profiles),Landing Page รายละเอียดเชิงลึกสำหรับ 77 จังหวัด,Spatial Risk Map,ccic.dcce.go.th/riskarea (77 pages),Partial (Synthesis required)
4,4.2,ข้อมูลรายสาขา (Sectoral Profiles),ข้อมูลเจาะลึก 6 สาขาหลัก (เกษตร/น้ำ/สธ./ฯลฯ),Risk DB Sectoral Chapters / NC4,DCCE Internal library,Partial (Synthesis required)
5,5.1,ห้องสมุดมาตรการปรับตัว (Measures Library UI),ระบบสืบค้นและคัดกรองมาตรการเชิงเทคนิคและนโยบาย,Adaptation project piloting reports,DCCE Internal library,Partial (Synthesis required)
5,5.2,กรณีศึกษาและโครงการที่ประสบความสำเร็จ (Success Hub),การคัดสรรและถอดบทเรียนโครงการเด่นเพื่อเป็นแนวทาง,DCCE SAR / Green Office Assets,dcce.go.th/news/,Integration-Ready
6,6.1,บัญชีข้อมูล (Data Catalog),ระบบสืบค้นชุดข้อมูล (Datasets | Search | Filter),Data catalog of CRDB,,High (required data governance)
6,6.2,Visualization and Analytics Application,ระบบแอปพลิเคชันสำหรับวิเคราะห์ข้อมูลรายสาขา,"Internal Sectoral Dashboards/ Spatial Risk Map, Climate Hazard Visualization ",clim-webbased.dcce.go.th,Ready (App Link)
6,6.3,ศูนย์รวมเครื่องมือและแหล่งข้อมูลภายนอก,จุดเชื่อมต่อสู่เครื่องมือสากล (ERA5/CMIP6/TMD),External API / Resource Gateway/ Product catalog of CRDB,TMD / GISTDA / ERA5 links,Ready (Link Hub)
