data_spec_id,name,serves_requirements,source_datasets,granularity,coverage,frequency,format,access,status,limitations,maintainer,note
DS-01,Provincial composite risk data,REQ-008; REQ-014,DCCE_3_1 to DCCE_3_6,Province,"National, 1960-2100",Annual,CSV,Public,Baseline-Draft / Unverified-Baseline,Two scenario pathways only; composite method not reversible to inputs,UNKNOWN,Support below province level is UNASSESSED - central question for the B2 investigation
DS-02,Historical climate grids,REQ-011; REQ-033; REQ-042,DCCE_2_1; DCCE_2_2,Grid,"National, 1981-2023",Daily and monthly,Raster,Restricted,Baseline-Draft / Unverified-Baseline,"Raw grids only, no derived statistics; access restriction must be resolved before publication",UNKNOWN,
DS-03,Vulnerability and adaptive capacity indicators,REQ-027,Proxy indicators across several catalog entries,"Mixed, mostly province","UNKNOWN, varies by indicator",UNKNOWN,UNKNOWN,Mixed,Baseline-Draft,No composite index exists; indicator coverage varies by area,UNKNOWN,
DS-04,Observation data held by other agencies,REQ-030; REQ-031; REQ-044,"External - meteorological, space technology, marine and groundwater bodies",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Not currently available to DCCE,UNKNOWN,Not in DCCE catalog; every field unknown until an agreement exists,Not applicable,Cannot be completed by DCCE alone - data agreement is the first deliverable
DS-05,Climate phenomena monitoring,REQ-032,None - one general-audience article only,Not applicable,None,None,Not applicable,Not applicable,None,"No monitoring feed exists; a source must be established, most likely external",Not applicable,
DS-06,Downscaled climate projections,REQ-035,DCCE_2_11; DCCE_2_16 to DCCE_2_19,"Grid, national","1960-2099 dynamical, 1981-2100 statistical",Daily and monthly,Raster,Restricted,Baseline-Draft / Unverified-Baseline,"National grid resolution, not the high-resolution sub-national product the requirement describes",UNKNOWN,
DS-07,Coastal and marine observations,REQ-043; REQ-045,MD_1_2; DMCR_1_1; DMCR_4_1,UNKNOWN - not recorded in catalog,"Sea level to 2026, erosion to 2025",Annual,Vector and CSV,"Restricted, unrecorded for DMCR_4_1",Baseline-Draft / Unverified-Baseline,Raw observations only; no rate of rise or erosion index derived; spatial resolution unrecorded,UNKNOWN,
DS-08,Historical disaster record,REQ-001,None in DCCE holdings; records across other bodies,UNKNOWN,None currently,UNKNOWN,UNKNOWN,UNKNOWN,None,Compilation task; sources exist but are scattered,Not applicable,
DS-09,Adaptation measures library,REQ-060; REQ-061,New - compiled from existing publications and new content,Per measure,To be established,UNKNOWN,UNKNOWN,To be decided,New,Cost information will be incomplete; measures must stay findable when cost is unknown,To be assigned,
DS-10,External portal connections,REQ-071,"External - meteorological service, geo-informatics portal, Copernicus",Varies by provider,Varies,Varies,Varies,Governed by each provider,No connection exists,Each connection needs its own agreement and licence record; availability outside DCCE control,To be assigned,
DS-11,Feedback records,REQ-073,New - generated by the platform,Per submission,From launch,Continuous,UNKNOWN,Internal,New,Contains identifiable submitter information; retention and access rules needed before launch,To be assigned,
