asset_id,name,kind,owner,url,cited_by_count,cited_by
PUB-012,คู่มือการจัดทำห่วงโซ่ผลกระทบจากการเปลี่ยนแปลงสภาพภูมิอากาศ,Knowledge Asset,กองยุทธศาสตร์และความร่วมมือระหว่างประเทศ,https://www.dcce.go.th/datacenter/19243/,4,REQ-002; REQ-040; REQ-046; REQ-051
DAT-014,ข้อมูลการประเมินผลการปรับตัวต่อการเปลี่ยนแปลงสภาพภูมิอากาศ,Knowledge Asset,กลุ่มประเมินผลการปรับตัวต่อการเปลี่ยนแปลงสภาพภูมิอากาศ,https://dgf.dcce.go.th/dataset/m-and-e,5,REQ-002; REQ-015; REQ-038; REQ-065; REQ-067
DCCE_3_1,ความเสี่ยงสาขาการเกษตรและความมั่นคงทางอาหาร,Dataset,DCCE,https://ccic.dcce.go.th/riskarea,1,REQ-004
DCCE_3_2,ความเสี่ยงสาขาการจัดการน้ำ,Dataset,DCCE,https://ccic.dcce.go.th/riskarea,1,REQ-004
DCCE_3_3,ความเสี่ยงสาขาการตั้งถิ่นฐานและความมั่นคงมนุษย์,Dataset,DCCE,https://ccic.dcce.go.th/riskarea,1,REQ-004
DCCE_3_4,ความเสี่ยงสาขาการท่องเที่ยว,Dataset,DCCE,https://ccic.dcce.go.th/riskarea,1,REQ-004
DCCE_3_5,ความเสี่ยงสาขาทรัพยากรธรรมชาติและสิ่งแวดล้อม,Dataset,DCCE,https://ccic.dcce.go.th/riskarea,1,REQ-004
DCCE_3_6,ความเสี่ยงสาขาสาธารณสุข,Dataset,DCCE,https://ccic.dcce.go.th/riskarea,1,REQ-004
DCCE_3_7,ดัชนีภูมิอากาศ,Dataset,DCCE,https://ccic.dcce.go.th/riskarea,1,REQ-004
DAT-005,ข้อมูลความเสี่ยงจากการเปลี่ยนแปลงสภาพภูมิอากาศ,Data Product,กองขับเคลื่อนการปรับตัวต่อการเปลี่ยนแปลงสภาพภูมิอากาศ,https://dgf.dcce.go.th/dataset/db0303-001,7,REQ-005; REQ-009; REQ-013; REQ-015; REQ-028; REQ-041; REQ-070
PUB-009,แผนการปรับตัวต่อการเปลี่ยนแปลงสภาพภูมิอากาศแห่งชาติ (Thailand's National Adaptation Plan : NAP),Knowledge Asset,กองยุทธศาสตร์และความร่วมมือระหว่างประเทศ,https://www.dcce.go.th/datacenter/6553/adaptation/national-adaptation-plan-nap-2568/,2,REQ-006; REQ-056
DAT-021,แผนการปรับตัวต่อการเปลี่ยนแปลงสภาพภูมิอากาศแหงชาติ,Knowledge Asset,กลุมขับเคลื่อนการปรับตัวตอการเปลี่ยนแปลงสภาพภูมิอากาศ,https://dgf.dcce.go.th/dataset/db0302-001,2,REQ-006; REQ-056
MED-025,แผนการปรับตัวต่อการเปลี่ยนแปลงสภาพภูมิอากาศแห่งชาติ  (National Adaptation Plan: NAP),Knowledge Asset,กลุ่มประชาสัมพันธ์และสื่อสารสิ่งแวดล้อม,https://www.dcce.go.th/media/23703/,1,REQ-006
