รหัส Use Case,หน่วยงานเจ้าของความต้องการ,ชื่อ Use Case (EN),ชื่อ Use Case (TH),บริการหลักที่เกี่ยวข้อง,การตัดสินใจที่เกี่ยวข้อง,ผลผลิต (Products),ความต้องการข้อมูล (Data Requirements),คำอธิบาย
UC-01,DCCE,National Adaptation Compliance Dashboard,แดชบอร์ดติดตามการดำเนินงานตามแผนการปรับตัวแห่งชาติ,S07: การติดตามและประเมินผลการดำเนินนโยบายด้านการปรับตัว,"อาณัติการรายงานต่อคณะรัฐมนตรี, ข้อกำหนดตามกฎหมายของแผน NAP, กรอบความโปร่งใสของ UNFCCC",Interactive Dashboard / GeoJSON,"Variables: NAP Progress Indicators, Sectoral Adaptation Targets, GGA Alignment Metrics; Resolution: National/Provincial; Return Periods: Annual Reporting Cycle",เพื่อให้เป็นไปตามกฎข้อบังคับในการติดตามความก้าวหน้าของแผน NAP แดชบอร์ดนี้รวบรวมตัวชี้วัดประสิทธิภาพเพื่อใช้เป็นหลักฐานสนับสนุนในการรายงานต่อคณะรัฐมนตรีและกรอบความโปร่งใสของ UNFCCC
UC-02,DCCE,Provincial Risk Profiles,ข้อมูลความเสี่ยงรายจังหวัด,S01: คลังข้อมูลภูมิอากาศและบริการรับรองข้อมูลทางการ,การประเมินระดับความเสี่ยงจากการเปลี่ยนแปลงสภาพภูมิอากาศระดับประเทศ จังหวัด อปท การจัดทำแผนพัฒนาระดับต่างๆ,PDF Report + Web-GIS Layer,"Variables: Hazard Baselines, Provincial Vulnerability Index, Exposure Layers; Resolution: Provincial (with Sub-district drill-down); Return Periods: Baseline (Current) + Future Projections",เพื่อขจัดข้อจำกัดของข้อมูลความเสี่ยงในระดับกว้าง ชุดข้อมูลนี้ให้รายละเอียดระดับจังหวัดและตำบลเพื่อสร้างความชอบธรรมในการจัดสรรงบประมาณพัฒนาพื้นที่และสื่อสารความเสี่ยงต่อสาธารณะอย่างมีหลักฐานสนับสนุน
UC-03,TBA,Standardized Sectoral Damage Functions,ฟังก์ชันความเสียหายมาตรฐานรายภาคส่วน,S01: คลังข้อมูลภูมิอากาศและบริการรับรองข้อมูลทางการ,"กรอบการจัดการความเสี่ยงเชิงกายภาพของ ธปท., การทดสอบภาวะวิกฤตตามกรอบ ICAAP, การปฏิบัติตามมาตรฐาน TCFD",Tabular (CSV/JSON) / API,"Variables: Sectoral Damage Functions, Depth-Damage Curves, Asset Type Classification; Resolution: Asset-level (Point/Building); Return Periods: None",เพื่อคุ้มครองสถาบันการเงินจากความเสี่ยงเชิงกายภาพ ฟังก์ชันความเสียหายมาตรฐานนี้ใช้เป็นบรรทัดฐานในการประเมินความคุ้มค่าและทวนสอบความถูกต้องของการทดสอบภาวะวิกฤต (Stress Testing) ตามเกณฑ์ของ ธปท.
UC-04,TBA,Asset-level Probabilistic Risk Maps,แผนที่ความเสี่ยงเชิงความน่าจะเป็นระดับสินทรัพย์,S01: คลังข้อมูลภูมิอากาศและบริการรับรองข้อมูลทางการ,"การทดสอบภาวะวิกฤตของ ธปท., การประเมินความเสี่ยงด้านสินเชื่อ, การประเมินมูลค่าหลักประกัน",GeoTIFF / Vector API,"Variables: Flood Depth, Flood Duration, Flood Type (Pluvial/Riverine/Coastal); Resolution: Asset-level (Point Location); Return Periods: ['Probabilistic (Return Periods 10, 50, 100y)']",เพื่อยกระดับการบริหารจัดการความเสี่ยงระดับสินทรัพย์ แผนที่ความเสี่ยงเชิงความน่าจะเป็นนี้ใช้เป็นหลักฐานสนับสนุนในการประเมินมูลค่าหลักประกันและพิจารณาสินเชื่อภายใต้ความผันผวนของภูมิอากาศ
UC-05,OTP,Climate-Adjusted Engineering Parameters,พารามิเตอร์ทางวิศวกรรมที่ปรับตามการเปลี่ยนแปลงสภาพภูมิอากาศ,S05: ตัวแปรทางวิศวกรรมเพื่อการออกแบบโครงสร้างพื้นฐานที่มีภูมิคุ้มกัน,"การปรับปรุงเกณฑ์การออกแบบโครงสร้างพื้นฐาน, การสร้างความชอบธรรมต่อสำนักงบประมาณ, การตรวจสอบความจำเป็นทางเทคนิค",Technical Tables / Engineering Manuals,"Variables: Rainfall Intensity, Peak Flow, Temperature Extremes; Resolution: Infrastructure Network Level; Return Periods: ['50-year', '100-year Future Return Periods']",เพื่อแก้ไขปัญหาเกณฑ์การออกแบบที่ล้าสมัย พารามิเตอร์เหล่านี้ช่วยแปลงข้อมูลวิทยาศาสตร์ภูมิอากาศเป็นค่าทางวิศวกรรมเพื่อคุ้มครองความมั่นคงของโครงสร้างพื้นฐานและลดภาระงบประมาณซ่อมบำรุงในอนาคต
UC-06,OTP,Highway KM-marker Hazard Projections,การคาดการณ์ภัยระดับหลักกิโลเมตรบนทางหลวง,S05: ตัวแปรทางวิศวกรรมเพื่อการออกแบบโครงสร้างพื้นฐานที่มีภูมิคุ้มกัน,"การวางแผนวงจรซ่อมบำรุง, การตรวจสอบภูมิคุ้มกันของเส้นทางวิกฤต",GIS Layer (SHP/GeoJSON),"Variables: Inundation Depth at KM, Landslide Risk at KM; Resolution: KM-marker (Point/Segment); Return Periods: Annual Max / 100-year Projection",เพื่อคุ้มครองโครงข่ายการคมนาคมขนส่ง การคาดการณ์ภัยระดับหลักกิโลเมตรช่วยให้หน่วยงานบริหารจัดการทรัพย์สินและวางแผนมาตรการป้องกันจุดเสี่ยงได้อย่างแม่นยำด้วยหลักฐานสนับสนุนเชิงพื้นที่
UC-07,DPT,Resilient Urban Planning Guidance,แนวทางการวางผังเมืองที่มีภูมิคุ้มกัน,S05: ตัวแปรทางวิศวกรรมเพื่อการออกแบบโครงสร้างพื้นฐานที่มีภูมิคุ้มกัน,"พระราชบัญญัติการผังเมือง, ข้อกำหนดการใช้ประโยชน์ที่ดิน (Zoning), มาตรฐานอาคารเขียว",Zoning Maps / Spatial Policy Document,"Variables: Hazard Zonation, Land Use Suitability, Ecosystem Service Value; Resolution: Urban/Neighborhood Scale; Return Periods: 20-year Planning Horizon",เพื่อสร้างภูมิคุ้มกันให้กับพื้นที่เมือง แนวทางนี้ใช้ข้อมูลความเสี่ยงคาดการณ์เพื่อกำหนดเขตการใช้ประโยชน์ที่ดินและข้อบัญญัติท้องถิ่นที่มีความชอบธรรมตามกฎหมายผังเมือง
UC-08,DPT,Climate-Adjusted Rainfall Intensity Tables,ตารางความเข้มฝนที่ปรับตามการเปลี่ยนแปลงสภาพภูมิอากาศ,S05: ตัวแปรทางวิศวกรรมเพื่อการออกแบบโครงสร้างพื้นฐานที่มีภูมิคุ้มกัน,"การออกแบบระบบระบายน้ำใหม่, มาตรฐานอุทกวิทยาเมือง",Look-up Tables / CSV,"Variables: IDF Curves, Hourly Rainfall Intensity, Climate Change Factors; Resolution: Station/City Grid; Return Periods: ['10, 25, 50, 100-year']",เพื่อขจัดความผิดพลาดในการออกแบบระบบระบายน้ำ ตารางความเข้มฝนที่ปรับปรุงใหม่ใช้เป็นเกณฑ์มาตรฐานในการคำนวณความจุโครงสร้างพื้นฐานเมืองเพื่อรองรับเหตุการณ์ฝนตกหนักสุดขั้ว
UC-09,NESDC,Macro-Economic True Loss Reports,รายงานความสูญเสียทางเศรษฐกิจมหภาคตามจริง,S04: การประเมินความสูญเสียและความเสียหายจากสภาพภูมิอากาศในอดีต,"การปรับประมาณการ GDP, การรายงานภัยพิบัติแห่งชาติ, การปฏิบัติตามเกณฑ์ตรวจเงินแผ่นดิน (สตง.)",Economic Indicator Time-series,"Variables: Direct Asset Damage, Indirect Economic Loss, Supply Chain Disruption Cost; Resolution: Sectoral / National; Return Periods: Event-based",เพื่อสร้างความโปร่งใสในการจัดสรรงบประมาณฟื้นฟู รายงานความสูญเสียตามจริงนี้ใช้ระเบียบวิธีสากลเพื่อรวบรวมหลักฐานสนับสนุนความเสียหายเชิงเศรษฐกิจและสังคมสำหรับรายงานระดับชาติ
UC-10,NESDC,SDG Baseline Indicators,ตัวชี้วัดฐานสำหรับการพัฒนาที่ยั่งยืน (SDG),S07: การติดตามและประเมินผลการดำเนินนโยบายด้านการปรับตัว,"รายงานความก้าวหน้า SDG (VNR) ปี 2025, การติดตามหมุดหมายที่ 11 (แผนพัฒนาฯ ฉบับที่ 13)",Verified Statistical Series,"Variables: SDG 13.1.1 (Death/Affected), Indicator 11.b.2 (DRR Strategy), Unified Baseline Metrics; Resolution: National / Provincial; Return Periods: Annual",เพื่อยืนยันสถานะความก้าวหน้าของประเทศตามเป้าหมายการพัฒนาที่ยั่งยืน ตัวชี้วัดฐานเหล่านี้ใช้เป็นข้อมูลหลักฐานสนับสนุนในการทำรายงาน Voluntary National Review (VNR) และแผนพัฒนาเศรษฐกิจฯ ฉบับที่ 13
