node_id,node_title_th,requirement_item,btr_tag
SIT-1.1.1,ภาพรวมความเสี่ยงจากการเปลี่ยนแปลงสภาพภูมิอากาศในประเทศไทย,ประวัติศาสตร์และแนวโน้มภัยธรรมชาติของประเทศ,
SIT-1.1.1,ภาพรวมความเสี่ยงจากการเปลี่ยนแปลงสภาพภูมิอากาศในประเทศไทย,กรอบแนวคิดและนิยามความเสี่ยงตามมาตรฐาน IPCC (Hazard Exposure Vulnerability),"2, MUST"
SIT-1.1.1,ภาพรวมความเสี่ยงจากการเปลี่ยนแปลงสภาพภูมิอากาศในประเทศไทย,ความเข้าใจความเสี่ยงทางกายภาพ (Physical Risk) และความเสี่ยงจากการเปลี่ยนผ่าน (Transition Risk),"2, MUST"
SIT-1.1.1,ภาพรวมความเสี่ยงจากการเปลี่ยนแปลงสภาพภูมิอากาศในประเทศไทย,แผนภาพและบัตรข้อมูลสรุปความเสี่ยงระดับชาติ (National Risk Profile Summary Cards),
SIT-1.1.2,ความเสี่ยงสำคัญ และลำดับความสำคัญในการปรับตัวของประเทศไทย,พื้นที่เป้าหมายวิกฤต (Hotspots) รายสาขาและระดับภูมิภาค,"2, MUST"
SIT-1.1.2,ความเสี่ยงสำคัญ และลำดับความสำคัญในการปรับตัวของประเทศไทย,สรุปสาระสำคัญของแผนการปรับตัวต่อการเปลี่ยนแปลงสภาพภูมิอากาศระดับชาติ (NAP Summary),"1, MUST"
SIT-1.1.2,ความเสี่ยงสำคัญ และลำดับความสำคัญในการปรับตัวของประเทศไทย,ตัวอย่างมาตรการปรับตัวเด่นเชิงรุกที่มีความคุ้มค่าสูง,
SIT-1.2,สืบค้นข้อมูลรายพื้นที่,Search Hierarchy: รองรับการค้นหารายระดับการปกครอง (จังหวัด -> อำเภอ -> ตำบล),
SIT-1.2,สืบค้นข้อมูลรายพื้นที่,Map Integration: แสดงตำแหน่งและขอบเขตการปกครองซ้อนทับบนแผนที่ความเสี่ยงเชิงพื้นที่ (Spatial Risk Map),"2, MUST"
SIT-1.2,สืบค้นข้อมูลรายพื้นที่,Quick-view Dashboard: แสดงบัตรข้อมูลสรุปความเปราะบางเฉพาะจุด ภัยคุกคามหลัก และมาตรการที่แนะนำในเบื้องต้น,
SIT-2.1,สถานการณ์การเปลี่ยนแปลงสภาพภูมิอากาศของประเทศ,สถิติเหตุการณ์อากาศสุดขั้วในอดีต (อุณหภูมิสูงสุด-ต่ำสุด สถิติปริมาณฝนสะสม),
SIT-2.1,สถานการณ์การเปลี่ยนแปลงสภาพภูมิอากาศของประเทศ,ฐานข้อมูลสถิติความสูญเสียและความเสียหายทางเศรษฐกิจระดับชาติ (Macroeconomic Loss & Damage Database),"5, MUST"
SIT-2.1,สถานการณ์การเปลี่ยนแปลงสภาพภูมิอากาศของประเทศ,สรุปแนวโน้มภัยคุกคามและการเปิดรับภัยของประเทศ (Exposure Trends),"2, MUST"
SIT-2.2,สรุปโปรไฟล์ของความเสี่ยงรายพื้นที่และรายภาคส่วน,สรุปโปรไฟล์ความเสี่ยงและความเปราะบางรายพื้นที่ (รายภูมิภาค 77 จังหวัด และระดับท้องถิ่น/อปท.),"2, MUST"
SIT-2.2,สรุปโปรไฟล์ของความเสี่ยงรายพื้นที่และรายภาคส่วน,สรุปโปรไฟล์ความเสี่ยงเฉพาะสาขาเป้าหมายหลัก 6 สาขา (เกษตรกรรม น้ำ สาธารณสุข ท่องเที่ยว ป่าไม้/ระบบนิเวศ พลังงานและการตั้งถิ่นฐาน),"2, MUST"
SIT-2.3,เครื่องมือทางนโยบาย กฎหมาย และการเงิน,สถานะการดำเนินการและแผนดำเนินงานภายใต้ พ.ร.บ. การเปลี่ยนแปลงสภาพภูมิอากาศ (พ.ร.บ. โลกร้อน),"1, MUST"
SIT-2.3,เครื่องมือทางนโยบาย กฎหมาย และการเงิน,สรุปมาตรการทางกฎหมายและนโยบายที่ส่งเสริมการปรับตัว (พ.ร.บ. ป้องกันและบรรเทาสาธารณภัย กฎกระทรวงผังเมือง),"1, MUST"
SIT-2.3,เครื่องมือทางนโยบาย กฎหมาย และการเงิน,ระบบรับรองความเป็นทางการของเครื่องมือการวิเคราะห์การหลีกเลี่ยงความสูญเสีย (Avoided Losses Certification Model),"3, MUST"
SIT-2.3.1,แหล่งทุนและการติดตามงบประมาณปรับตัว,รายการแหล่งทุนภาครัฐ/เอกชน/ต่างประเทศ และคู่มือวิเคราะห์ความคุ้มค่าโครงการเพื่อประกอบการจัดทำงบประมาณชี้แจง สตง.,"4, MUST"
SIT-2.3.1,แหล่งทุนและการติดตามงบประมาณปรับตัว,รายงานสถิติการจัดสรรงบประมาณแผ่นดินสำหรับการปรับตัวและ Climate Budget Tagging,"4, SHOULD"
SIT-2.3.1,แหล่งทุนและการติดตามงบประมาณปรับตัว,การติดตามการรับเงินช่วยเหลือ เทคโนโลยี และความช่วยเหลือด้านวิชาการจากต่างประเทศ (GCF AF GEF),"4, MUST"
SIT-2.3.1,แหล่งทุนและการติดตามงบประมาณปรับตัว,การประเมินและการดึงดูดการมีส่วนร่วมของภาคการเงินและภาคเอกชนในการจัดหาทุนเพื่อการปรับตัว,"4, SHOULD"
SIT-2.3.2,กลไกเชิงสถาบันและการประสานงาน,บทบาทและหน้าที่ของ DCCE ในฐานะจุดประสานงานกลางของประเทศ,"1, MUST"
SIT-2.3.2,กลไกเชิงสถาบันและการประสานงาน,โครงสร้างคณะกรรมการนโยบายการเปลี่ยนแปลงสภาพภูมิอากาศแห่งชาติ และคณะอนุกรรมการรายสาขา,"1, MUST"
SIT-2.3.2,กลไกเชิงสถาบันและการประสานงาน,กลไกการประสานงานและบูรณาการการดำเนินงานปรับตัวระหว่างหน่วยงานรัฐระดับชาติและระดับท้องถิ่น (อปท.),"1, MUST"
SIT-2.3.2,กลไกเชิงสถาบันและการประสานงาน,ช่องทางและสถิติการมีส่วนร่วมของภาคประชาสังคม ภาคเอกชน และสถาบันวิชาการในวงจรการปรับตัว,"1, SHOULD"
SIT-2.4,บริการข้อมูลสำหรับการวางแผน,สถิติและดัชนีความเปราะบางระดับท้องถิ่น (Local Vulnerability & Adaptive Capacity Indices),"2, MUST"
SIT-2.4,บริการข้อมูลสำหรับการวางแผน,แผนที่ความเสี่ยงเชิงพื้นที่แบบบูรณาการ (Integrated Spatial Risk Maps),
SIT-2.4,บริการข้อมูลสำหรับการวางแผน,แนวทางและข้อกำหนดความปลอดภัยข้อมูลระดับประเทศสำหรับการสืบค้นเชิงวิชาการ,
SIT-3.1.1,ข้อมูลสังเกตุการณ์,ชุดข้อมูลสภาพอากาศรายสถานีสังเกตการณ์ระยะสั้นและระยะกลาง (ความร่วมมือกรมอุตุนิยมวิทยา),
SIT-3.1.1,ข้อมูลสังเกตุการณ์,ชุดข้อมูลสังเกตการณ์ผ่านดาวเทียม (พื้นที่ป่าไม้ Land Cover แหล่งน้ำ แนวปะการังฟอกขาว),"2, MUST"
SIT-3.1.1,ข้อมูลสังเกตุการณ์,ข้อมูลการติดตามปรากฏการณ์สภาพภูมิอากาศที่มีนัยสำคัญระดับสากล (ENSO AMOC),"2, SHOULD"
SIT-3.1.2,ปัจจัยขับเคลื่อนทางภูมิอากาศ,ข้อมูล Climatology และตัวแปรทางสภาพภูมิอากาศที่สำคัญ (Temperature trends Rainfall intensity changes),"2, MUST"
SIT-3.1.2,ปัจจัยขับเคลื่อนทางภูมิอากาศ,คู่มือและบทอธิบายการใช้งานฉากทัศน์ภูมิอากาศ (Climate Scenarios),
SIT-3.1.2,ปัจจัยขับเคลื่อนทางภูมิอากาศ,คลังชุดข้อมูลคาดการณ์อนาคตความละเอียดสูงระดับประเทศ (Downscaled climate projections),"2, MUST"
SIT-3.1.3,ฉากทัศน์ภูมิอากาศในอนาคต,มาตรฐานการบริหารจัดการความไม่แน่นอนและแนวทางการเลือกชุดข้อมูลคาดการณ์อนาคต (National Climate Uncertainty Governance Standard),"2, MUST"
SIT-3.1.3,ฉากทัศน์ภูมิอากาศในอนาคต,ตัวอย่างกรณีศึกษาการประยุกต์ใช้แบบจำลองคาดการณ์สภาพภูมิอากาศในการวางแผนกลยุทธ์ระยะยาว,
