asset_id,asset_title,asset_type,description,front_end_url,resource_url,source_group,owner,format
"SYS-001","ศูนย์ข้อมูลด้านการเปลี่ยนแปลงสภาพภูมิอากาศ","Data Product","ระบบสารสนเทศ/บริการอิเล็กทรอนิกส์ DCCE: ศูนย์ข้อมูลด้านการเปลี่ยนแปลงสภาพภูมิอากาศ","https://ccic.dcce.go.th/","https://ccic.dcce.go.th/","สารสนเทศ DCCE","กลุ่มพัฒนาเทคโนโลยีดิจิทัล","Web Application"
"SYS-002","ระบบบัญชีข้อมูล (Data Catalog) กรมการเปลี่ยนแปลงสภาพภูมิอากาศและสิ่งแวดล้อม","Data Product","ระบบสารสนเทศ/บริการอิเล็กทรอนิกส์ DCCE: ระบบบัญชีข้อมูล (Data Catalog) กรมการเปลี่ยนแปลงสภาพภูมิอากาศและสิ่งแวดล้อม","https://dgf.dcce.go.th/","https://dgf.dcce.go.th/","สารสนเทศ DCCE","กลุ่มพัฒนาเทคโนโลยีดิจิทัล","Web Application"
"SYS-003","ฐานข้อมูลความเสี่ยงจากการเปลี่ยนแปลงสภาพภูมิอากาศ","Data Product","ระบบสารสนเทศ/บริการอิเล็กทรอนิกส์ DCCE: ฐานข้อมูลความเสี่ยงจากการเปลี่ยนแปลงสภาพภูมิอากาศ","https://ccic.dcce.go.th/riskarea","https://ccic.dcce.go.th/riskarea","สารสนเทศ DCCE","กลุ่มพัฒนาเทคโนโลยีดิจิทัล","Web Application"
"SYS-004","ระบบสัมมนาและฝึกอบรมด้านสิ่งแวดล้อม","Data Product","ระบบสารสนเทศ/บริการอิเล็กทรอนิกส์ DCCE: ระบบสัมมนาและฝึกอบรมด้านสิ่งแวดล้อม","https://datacenter.dcce.go.th/training","https://datacenter.dcce.go.th/training","สารสนเทศ DCCE","กลุ่มพัฒนาเทคโนโลยีดิจิทัล","Web Application"
"SYS-005","ระบบการเรียนรู้ออนไลน์ (e-Learning)","Data Product","ระบบสารสนเทศ/บริการอิเล็กทรอนิกส์ DCCE: ระบบการเรียนรู้ออนไลน์ (e-Learning)","https://e-learning.dcce.go.th/lrs_deqp/home2","https://e-learning.dcce.go.th/lrs_deqp/home2","สารสนเทศ DCCE","กลุ่มพัฒนาเทคโนโลยีดิจิทัล","Web Application"
"SYS-006","หลักสูตรประกาศนียบัตรธรรมาภิบาลสิ่งแวดล้อมสำหรับนักบริหารระดับสูง (ปธส.)","Data Product","ระบบสารสนเทศ/บริการอิเล็กทรอนิกส์ DCCE: หลักสูตรประกาศนียบัตรธรรมาภิบาลสิ่งแวดล้อมสำหรับนักบริหารระดับสูง (ปธส.)","","","สารสนเทศ DCCE","กลุ่มพัฒนาเทคโนโลยีดิจิทัล",""
"SYS-007","เมืองสิ่งแวดล้อมยั่งยืน (SAR)","Data Product","ระบบสารสนเทศ/บริการอิเล็กทรอนิกส์ DCCE: เมืองสิ่งแวดล้อมยั่งยืน (SAR)","https://sar.dcce.go.th/","https://sar.dcce.go.th/","สารสนเทศ DCCE","กลุ่มพัฒนาเทคโนโลยีดิจิทัล","Web Application"
"SYS-008","ระบบพื้นที่สีเขียวในเขตเมืองและชุมชน (Green Area)","Data Product","ระบบสารสนเทศ/บริการอิเล็กทรอนิกส์ DCCE: ระบบพื้นที่สีเขียวในเขตเมืองและชุมชน (Green Area)","https://greenarea.dcce.go.th/landing_page_mini_site/","https://greenarea.dcce.go.th/landing_page_mini_site/","สารสนเทศ DCCE","กลุ่มพัฒนาเทคโนโลยีดิจิทัล","Web Application"
"SYS-009","ระบบบันทึกข้อมูลการจัดการขยะ (Data Trash)","Data Product","ระบบสารสนเทศ/บริการอิเล็กทรอนิกส์ DCCE: ระบบบันทึกข้อมูลการจัดการขยะ (Data Trash)","http://datatrash.dcce.go.th/intro","http://datatrash.dcce.go.th/intro","สารสนเทศ DCCE","กลุ่มพัฒนาเทคโนโลยีดิจิทัล","Web Application"
"SYS-010","ระบบจัดเก็บพลังงานและของเสีย (Energy and Waste)","Data Product","ระบบสารสนเทศ/บริการอิเล็กทรอนิกส์ DCCE: ระบบจัดเก็บพลังงานและของเสีย (Energy and Waste)","https://energyandwaste.dcce.go.th/","https://energyandwaste.dcce.go.th/","สารสนเทศ DCCE","กลุ่มพัฒนาเทคโนโลยีดิจิทัล","Web Application"
"SYS-011","ระบบรายงานจุดตรวจวัดคุณภาพสิ่งแวดล้อม (Monitor)","Data Product","ระบบสารสนเทศ/บริการอิเล็กทรอนิกส์ DCCE: ระบบรายงานจุดตรวจวัดคุณภาพสิ่งแวดล้อม (Monitor)","http://monitor.dcce.go.th/","http://monitor.dcce.go.th/","สารสนเทศ DCCE","กลุ่มพัฒนาเทคโนโลยีดิจิทัล","Web Application"
"SYS-012","ระบบงานเครือข่าย ทสม. เครือข่ายอาสาสมัครพิทักษ์ทรัพยากรธรรมชาติและสิ่งแวดล้อมหมู่บ้าน","Data Product","ระบบสารสนเทศ/บริการอิเล็กทรอนิกส์ DCCE: ระบบงานเครือข่าย ทสม. เครือข่ายอาสาสมัครพิทักษ์ทรัพยากรธรรมชาติและสิ่งแวดล้อมหมู่บ้าน","https://datacenter.dcce.go.th/nevt/home","https://datacenter.dcce.go.th/nevt/home","สารสนเทศ DCCE","กลุ่มพัฒนาเทคโนโลยีดิจิทัล","Web Application"
"SYS-013","ระบบงานบุคคลและองค์การเอกชนด้านสิ่งแวดล้อม (NGOs)","Data Product","ระบบสารสนเทศ/บริการอิเล็กทรอนิกส์ DCCE: ระบบงานบุคคลและองค์การเอกชนด้านสิ่งแวดล้อม (NGOs)","https://datacenter.dcce.go.th/ngos/","https://datacenter.dcce.go.th/ngos/","สารสนเทศ DCCE","กลุ่มพัฒนาเทคโนโลยีดิจิทัล","Web Application"
"SYS-014","โรงเรียนอีโคสคูล (Eco School)","Data Product","ระบบสารสนเทศ/บริการอิเล็กทรอนิกส์ DCCE: โรงเรียนอีโคสคูล (Eco School)","https://ecoschool.dcce.go.th/","https://ecoschool.dcce.go.th/","สารสนเทศ DCCE","กลุ่มพัฒนาเทคโนโลยีดิจิทัล","Web Application"
"SYS-015","ระบบบริการข้อมูลการผลิต การบริการ และการบริโภคที่เป็นมิตรกับสิ่งแวดล้อม (SCP)","Data Product","ระบบสารสนเทศ/บริการอิเล็กทรอนิกส์ DCCE: ระบบบริการข้อมูลการผลิต การบริการ และการบริโภคที่เป็นมิตรกับสิ่งแวดล้อม (SCP)","http://scpallgreen.dcce.go.th/","http://scpallgreen.dcce.go.th/","สารสนเทศ DCCE","กลุ่มพัฒนาเทคโนโลยีดิจิทัล","Web Application"
"SYS-016","มหิงสาสายสืบ","Data Product","ระบบสารสนเทศ/บริการอิเล็กทรอนิกส์ DCCE: มหิงสาสายสืบ","https://mahingsa.dcce.go.th/","https://mahingsa.dcce.go.th/","สารสนเทศ DCCE","กลุ่มพัฒนาเทคโนโลยีดิจิทัล","Web Application"
"SYS-017","โรงแรมที่เป็นมิตรกับสิ่งแวดล้อม (Green Hotel)","Data Product","ระบบสารสนเทศ/บริการอิเล็กทรอนิกส์ DCCE: โรงแรมที่เป็นมิตรกับสิ่งแวดล้อม (Green Hotel)","https://greenhotelthai.com/th/%20","https://greenhotelthai.com/th/%20","สารสนเทศ DCCE","กลุ่มพัฒนาเทคโนโลยีดิจิทัล","Web Application"
"SYS-018","ร้านอาหารที่เป็นมิตรกับสิ่งแวดล้อม (Green Restaurant)","Data Product","ระบบสารสนเทศ/บริการอิเล็กทรอนิกส์ DCCE: ร้านอาหารที่เป็นมิตรกับสิ่งแวดล้อม (Green Restaurant)","https://scpallgreen.dcce.go.th/project_detail.php?id=6","https://scpallgreen.dcce.go.th/project_detail.php?id=6","สารสนเทศ DCCE","กลุ่มพัฒนาเทคโนโลยีดิจิทัล","Web Application"
"SYS-019","สำนักงานสีเขียว (Green Office) ระดับประเทศ","Data Product","ระบบสารสนเทศ/บริการอิเล็กทรอนิกส์ DCCE: สำนักงานสีเขียว (Green Office) ระดับประเทศ","https://scpallgreen.dcce.go.th/project_detail.php?id=3","https://scpallgreen.dcce.go.th/project_detail.php?id=3","สารสนเทศ DCCE","กลุ่มพัฒนาเทคโนโลยีดิจิทัล","Web Application"
"SYS-020","สถานประกอบการที่มีการผลิตที่เป็นมิตรกับสิ่งแวดล้อม (Green Production)","Data Product","ระบบสารสนเทศ/บริการอิเล็กทรอนิกส์ DCCE: สถานประกอบการที่มีการผลิตที่เป็นมิตรกับสิ่งแวดล้อม (Green Production)","https://scpallgreen.dcce.go.th/project_detail.php?id=1","https://scpallgreen.dcce.go.th/project_detail.php?id=1","สารสนเทศ DCCE","กลุ่มพัฒนาเทคโนโลยีดิจิทัล","Web Application"
"SYS-021","อุทยานแห่งชาติสีเขียว (Green National Park)","Data Product","ระบบสารสนเทศ/บริการอิเล็กทรอนิกส์ DCCE: อุทยานแห่งชาติสีเขียว (Green National Park)","https://scpallgreen.dcce.go.th/project_detail.php?id=4","https://scpallgreen.dcce.go.th/project_detail.php?id=4","สารสนเทศ DCCE","กลุ่มพัฒนาเทคโนโลยีดิจิทัล","Web Application"
"SYS-022","ที่อยู่อาศัยที่เป็นมิตรกับสิ่งแวดล้อม (Green Residence)","Data Product","ระบบสารสนเทศ/บริการอิเล็กทรอนิกส์ DCCE: ที่อยู่อาศัยที่เป็นมิตรกับสิ่งแวดล้อม (Green Residence)","","","สารสนเทศ DCCE","กลุ่มพัฒนาเทคโนโลยีดิจิทัล",""
"SYS-023","การดำเนินงานด้านสิ่งแวดล้อม กรมการเปลี่ยนแปลงสภาพภูมิอากาศและสิ่งแวดล้อม","Data Product","ระบบสารสนเทศ/บริการอิเล็กทรอนิกส์ DCCE: การดำเนินงานด้านสิ่งแวดล้อม กรมการเปลี่ยนแปลงสภาพภูมิอากาศและสิ่งแวดล้อม","","","สารสนเทศ DCCE","กลุ่มพัฒนาเทคโนโลยีดิจิทัล",""
"SYS-024","การเปิดโอกาสให้เกิดการมีส่วนร่วม","Data Product","ระบบสารสนเทศ/บริการอิเล็กทรอนิกส์ DCCE: การเปิดโอกาสให้เกิดการมีส่วนร่วม","","","สารสนเทศ DCCE","กลุ่มพัฒนาเทคโนโลยีดิจิทัล",""
"SYS-025","โครงการโรงแรมที่เป็นมิตรกับสิ่งแวดล้อมยั่งยืน (Green Hotel Plus)","Data Product","ระบบสารสนเทศ/บริการอิเล็กทรอนิกส์ DCCE: โครงการโรงแรมที่เป็นมิตรกับสิ่งแวดล้อมยั่งยืน (Green Hotel Plus)","https://scpallgreen.dcce.go.th/project_detail.php?id=19","https://scpallgreen.dcce.go.th/project_detail.php?id=19","สารสนเทศ DCCE","กลุ่มพัฒนาเทคโนโลยีดิจิทัล","Web Application"
"PUB-001","แผนแม่บทรองรับการเปลี่ยนแปลงสภาพภูมิอากาศ พ.ศ. 2558 – 2593","Knowledge Asset","สิ่งพิมพ์/เอกสารเผยแพร่ในศูนย์ข้อมูลกลาง หมวดนโยบายและยุทธศาสตร์","https://www.dcce.go.th/datacenter/3353/","https://www.dcce.go.th/wp-content/uploads/2025/02/แผนแม่บทรองรับการเปลี่ยนแปลงสภาพภูมิอากาศ-2558-2593.pdf","ศูนย์ข้อมูลกลาง > นโยบายและยุทธศาสตร์","กองยุทธศาสตร์และความร่วมมือระหว่างประเทศ","PDF"
"PUB-002","นโยบายและการดำเนินงานตาม ข้อ 6 ของความตกลงปารีส (Article 6 of Paris Agreement)","Knowledge Asset","Related Documents Thailand Article 6","https://www.dcce.go.th/datacenter/5298/","https://www.dcce.go.th/wp-content/uploads/2025/04/Thailands-Article-6-paragraph-2-Initial-report.pdf","ศูนย์ข้อมูลกลาง > นโยบายและยุทธศาสตร์","กองยุทธศาสตร์และความร่วมมือระหว่างประเทศ","PDF"
