Sitemap_ID,Node_Title_EN,Groundwork_Asset,Legacy_Asset,Legacy_URL,Implementation_Action
1.1,National Climate Adaptation Overview,CRI Phase 1 Executive Summary,News / Vision-Mission,dcce.go.th/about-us/vision-mission/,Synthesize high-impact narrative from Vision vs CRI
1.2,My Area Profile,Spatial Risk Map v2,Risk MAP (Spatial Database),ccic.dcce.go.th/riskarea,Embed Risk MAP visualizations as profile anchors
1.3,Help Me Plan,Adaptation Library Concepts,CCE Information Portals,dcce.go.th/cce-information/,Create routing cards to guidance and finance hubs
2.1,Summary of Risks by Area and Sector,National Risk DB (Ch 6-12),National Reports / NC4 / BTR1,dcce.go.th/datacenter/657/,Extract executive summaries from PDFs for web content
2.2,National Climate Indicators,CRI Phase 1 / Risk DB,CCIC Indicators,ccic.dcce.go.th/,Unify CCIC data streams into policy dashboard
2.3,Policy, Law, and Finance Hub,Strategic Review (2026),Climate Act / Finance Hub,dcce.go.th/datacenter/661/,Link legislative status to NAP planning cycle
2.4,Planning & Disclosure Support,Risk DB Standard Baselines,CCIC / Data Catalog,dgf.dcce.go.th/,Publish standardized baselines for ESG reporting
3.1,Climate Science & Hazards,Risk DB (Ch 2/4/5),CCIC Technical Data,ccic.dcce.go.th/,Extract CMIP6 scenarios from Risk DB reports
3.2,Risks and Impacts,Risk DB (Vulnerability Model),Risk MAP / Reports,ccic.dcce.go.th/riskarea,Adopt E-S-AC vulnerability framework (IPCC AR6)
3.3,Loss and Damage,CRI Phase 1 Impact Tracker,Disaster Reports / News,dcce.go.th/news/,Create new node; backfill with CRI impact data
3.4,Adaptation Planning & Implementation,Sectoral Guidelines,Climate Adaptation Portal,dcce.go.th/datacenter/669/,Transform PDF plans into interactive guidance
3.5,Results and Monitoring,CRI Phase 1 / GGA Indicators,National Reports (NC/BUR),dcce.go.th/datacenter/657/,Extract M&E results from administrative reports
4.1,Provincial Profiles,Risk DB (77 Provinces),Risk MAP,ccic.dcce.go.th/riskarea,Develop narrative landing pages for 77 provinces
4.2,Sectoral Profiles,Risk DB (6 Core Sectors),National Reports,dcce.go.th/datacenter/657/,Create deep-dive pages for 6 core NAP sectors
5.1,Adaptation Measures Library,Sectoral Concepts,News / Project Updates,dcce.go.th/news/,Curate measures from news archives into library
5.2,Case Studies & Success Stories,CRI Case Stories,Green Office / Eco School,greenhotelthai.com,Link specialized portals as sectoral exemplars
5.3,Technical Guidelines & Toolkits,Risk DB (Methodology),CCE Information,dcce.go.th/cce-information/,Consolidate technical manuals into searchable toolkit
6.1,Data Catalog & Discovery,Data Inventory (P3),Data Catalog (CKAN),dgf.dcce.go.th/,Integrate CKAN catalog with adaptation cycle
6.2,Developer Portal & APIs,Risk DB (Backend),Open Data Portal,dcce.go.th/open-data/,Provide WMS/WFS streams and API documentation for automated retrieval
6.3,Methodology, Standards, and Uncertainty,Risk DB (Ch 13),Policy Docs / Technical Manuals,dcce.go.th/datacenter/669/,Expose Methodology from PDF to explicit web page
7.1,News, Announcements, and Contact,Website Feed,News / Contact Us,dcce.go.th/news/,Migrate institutional engagement channels
