Sitemap_ID,Node_Title_TH,Node_Title_EN,Groundwork_Asset,Legacy_Asset,Content_Readiness,Implementation_Action
1.1,หน้าหลัก (Executive Dashboard),National Climate Adaptation Overview,CRI Phase 1 Executive Summary,News / Vision-Mission,Low - New Synthesis Required,Synthesize high-impact narrative from Vision vs CRI into landing summaries
1.2,ข้อมูลความเสี่ยงรายพื้นที่,My Area Profile,Spatial Risk Map v2,Risk MAP (Spatial Database),Partial,Embed Risk MAP visualizations and develop provincial summary logic
1.3,แนวทางการปรับตัว (Help Me Plan),Help Me Plan,Adaptation Library Concepts,CCE Information Portals,Low - New Synthesis Required,Design routing logic to measures and finance hubs; synthesize scattered links
2.1,สรุปโปรไฟล์ความเสี่ยงรายพื้นที่และภาคส่วน,Summary of Risks by Area and Sector,National Risk DB (Ch 6-12),National Reports / NC4 / BTR1,Partial,Extract and reformat executive summaries from PDFs for web display
2.2,ตัวชี้วัดสภาวะภูมิอากาศและความเสี่ยง,National Climate Indicators,CRI Phase 1 / Risk DB,CCIC Indicators,Partial,Unify fragmented CCIC data streams into a single policy-ready dashboard
2.3,เครื่องมือทางนโยบาย กฎหมาย และการเงิน,Policy; Law; and Finance Hub,Strategic Review (2026),Climate Act / Finance Hub,Partial-High,Link legislative status and finance data to the NAP planning cycle
2.4,บริการข้อมูลสำหรับการวางแผน (Planning Support),Planning & Disclosure Support,Risk DB Standard Baselines,CCIC / Data Catalog,Low - New Synthesis Required,Convert authoritative report baselines into disclosure-ready web templates
3.1,วิทยาศาสตร์สภาวะภูมิอากาศ,Climate Science & Hazards,Risk DB (Ch 2/4/5),CCIC Technical Data,High,Format CMIP6 scenario data from Risk DB reports for interactive display
3.2,การวิเคราะห์ผลกระทบ ความเสี่ยง และความเปราะบาง,Risks and Impacts,Risk DB (Vulnerability Model),Risk MAP / Reports,High,Map E-S-AC vulnerability data to sectoral and regional profiles
3.3,ความสูญเสียและความเสียหาย (Loss and Damage),Loss and Damage,CRI Phase 1 Impact Tracker,Disaster Reports / News,Low - New Synthesis Required,Synthesize historical disaster data into a dedicated UNFCCC-aligned dashboard
3.4,การวางแผนการปรับตัวและการปฏิบัติ,Adaptation Planning & Implementation,Sectoral Guidelines,Climate Adaptation Portal,Partial,Transform static PDF guidelines into interactive step-by-step guidance
3.5,การติดตาม ประเมินผล และถอดบทเรียน,Results and Monitoring,CRI Phase 1 / GGA Indicators,National Reports (NC/BUR),Low - New Synthesis Required,Develop M&E outcomes dashboard based on GGA indicators and success stories
4.1,โปรไฟล์รายจังหวัด,Provincial Profiles,Risk DB (77 Provinces),Risk MAP,Partial,Synthesize narrative landing pages for 77 provinces using Risk DB data
4.2,โปรไฟล์รายภาคส่วน,Sectoral Profiles,Risk DB (6 Core Sectors),National Reports,Partial,Consolidate sectoral impacts and measures into unified sector hubs
5.1,ห้องสมุดมาตรการปรับตัว,Adaptation Measures Library,Sectoral Concepts,News / Project Updates,Low - New Synthesis Required,Curate and structure measures from news archives and PDFs into a searchable library
5.2,กรณีศึกษาและบทเรียน,Case Studies & Success Stories,CRI Case Stories,Green Office / Eco School,Partial,Link and curate existing specialized portals as sectoral exemplars
5.3,คู่มือและเครื่องมือปฏิบัติ,Technical Guidelines & Toolkits,Risk DB (Methodology),CCE Information,Partial,Consolidate technical manuals into a searchable resource toolkit
6.1,บัญชีข้อมูล (Data Catalog),Data Catalog & Discovery,Data Inventory (P3),Data Catalog (CKAN),High,Integrate existing CKAN data catalog with adaptation workflows
6.2,บริการข้อมูลและพอร์ทัลสำหรับนักพัฒนา,Developer Portal & APIs,Risk DB (Backend),Open Data Portal,Partial,Develop API documentation and developer entry point for data streams
6.3,ระเบียบวิธี มาตรฐาน และความไม่แน่นอน,Methodology; Standards; and Uncertainty,Risk DB (Ch 13),Policy Docs / Technical Manuals,Partial-High,Extract methodology from report and format as an explicit guidance page
7.1,ข่าวสารและเกี่ยวกับระบบ,News; Announcements; and Contact,Website Feed,News / Contact Us,High,Migrate institutional engagement channels and publication logs
