Sitemap_ID,Node_Title_TH,Node_Title_EN,Groundwork_Asset,Legacy_Asset,Content_Readiness,Implementation_Action
1.1,???????? (Executive Dashboard),National Climate Adaptation Overview,CRI Phase 1 Executive Summary,News / Vision-Mission,Low - New Synthesis Required,Synthesize high-impact narrative from Vision vs CRI into landing summaries
1.2,??????????????????????????,My Area Profile,Spatial Risk Map v2,Risk MAP (Spatial Database),Partial,Embed Risk MAP visualizations and develop provincial summary logic
1.3,???????????????? (Help Me Plan),Help Me Plan,Adaptation Library Concepts,CCE Information Portals,Low - New Synthesis Required,Design routing logic to measures and finance hubs; synthesize scattered links
2.1,?????????????????????????????????????????,Summary of Risks by Area and Sector,Spatial Risk Map v2,Thailand Climate Risk Assessment Reports / NC4 / BTR1,Partial,Extract and reformat executive summaries from PDFs  and Use the existing DCCE Spatial Risk Map as the foundational content for web display
2.2,????????????????????????????????????,National Climate Indicators,TMD data,TMD data,Partial,Link to exisitng datasets
2.3,??????????????????? ?????? ??????????,Policy; Law; and Finance Hub,Strategic Review (2026),Climate Act / Finance Hub,Partial-High,Link legislative status and finance data to the NAP planning cycle. Leverage past climate finance projects to provide user with neccesary resources
2.4,??????????????????????????? (Planning Support),Planning & Disclosure Support,Risk DB Standard Baselines,CCIC / Data Catalog,Low - New Synthesis Required,Convert authoritative report baselines into disclosure-ready web templates
3.1,?????????????????????????,Climate Science & Hazards,TMD data,CCIC Technical Data,High,Link to exisitng datasets
3.2,??????????????????? ?????????? ???????????????,Risks and Impacts,Risk DB (Vulnerability Model),Risk MAP / Reports,High,Use the existing DCCE Spatial Risk Map as the foundational content
3.3,????????????????????????? (Loss and Damage),Loss and Damage,CRI Phase 1 Impact Tracker,Disaster Reports / News,Low - New Synthesis Required,Synthesize historical disaster data into a dedicated UNFCCC-aligned dashboard
3.4,????????????????????????????????,Adaptation Planning & Implementation,Sectoral Guidelines,,Partial,Transform static PDF guidelines into interactive step-by-step guidance
3.5,????????? ????????? ?????????????,Results and Monitoring,M&E platform,National Reports (NC/BUR),Low - New Synthesis Required,Develop M&E outcomes dashboard based on GGA indicators and success stories
4.1,?????????????????,Provincial Profiles,Spatial Risk Map v2,Spatial Risk Map v2,Partial,Synthesize narrative landing pages for 77 provinces using Spatial Risk Map and other reports
4.2,?????????????????,Sectoral Profiles,Risk DB (6 Core Sectors),Thailand Climate Risk Assessment Reports / NC4 / BTR1,Partial,Consolidate sectoral impacts and measures into unified sector hubs
5.1,??????????????????????,Adaptation Measures Library,Sectoral Concepts,News / Project Updates,Low - New Synthesis Required,Curate and structure measures from news archives and PDFs into a searchable library
5.2,???????????????????,Case Studies & Success Stories,,Green Office / Eco School,Partial,Link and curate existing specialized portals as sectoral exemplars
5.3,??????????????????????????,Technical Guidelines & Toolkits,Risk DB (Methodology),DCCE's website resource pages,Partial,Consolidate technical manuals into a searchable resource toolkit
6.1,??????????? (Data Catalog),Data Catalog & Discovery,Data Inventory (P3),Data Catalog (CKAN),Low - New Synthesis Required,Required vetting on neccesary data set and implementation of data governance to confidently publish official datasets
6.2,????????????????????????????????????,Developer Portal & APIs,Risk DB (Backend),Open Data Portal,Partial,Develop API documentation and developer entry point for data streams
6.3,??????????? ??????? ????????????????,Methodology; Standards; and Uncertainty,Risk DB (Ch 13),Policy Docs / Technical Manuals,Partial-High,Extract methodology from report and format as an explicit guidance page. Need endorsement from data owners and directors of the division at least.
7.1,???????????????????????,News; Announcements; and Contact,Website Feed,News / Contact Us,High,Migrate institutional engagement channels and publication logs
