node_id,node_title_th,requirement_item,btr_tag,matched_asset_ids,match_rationale,priority_flag,coverage_completeness,uncovered_subtopics
SIT-1.1.1,ภาพรวมความเสี่ยงจากการเปลี่ยนแปลงสภาพภูมิอากาศในประเทศไทย,ประวัติศาสตร์และแนวโน้มภัยธรรมชาติของประเทศ,,GAP,,,GAP,
SIT-1.1.1,ภาพรวมความเสี่ยงจากการเปลี่ยนแปลงสภาพภูมิอากาศในประเทศไทย,กรอบแนวคิดและนิยามความเสี่ยงตามมาตรฐาน IPCC (Hazard Exposure Vulnerability),"2, MUST",PUB-012;DAT-014,"DCCE impact-chain manual embeds hazard-exposure-vulnerability methodology used for national risk analysis;Dataset explicitly tagged IPCC, Vulnerability, Adaptation; defines CCA per IPCC terms",,FULL,
SIT-1.1.1,ภาพรวมความเสี่ยงจากการเปลี่ยนแปลงสภาพภูมิอากาศในประเทศไทย,ความเข้าใจความเสี่ยงทางกายภาพ (Physical Risk) และความเสี่ยงจากการเปลี่ยนผ่าน (Transition Risk),"2, MUST",GAP,,,GAP,
SIT-1.1.1,ภาพรวมความเสี่ยงจากการเปลี่ยนแปลงสภาพภูมิอากาศในประเทศไทย,แผนภาพและบัตรข้อมูลสรุปความเสี่ยงระดับชาติ (National Risk Profile Summary Cards),,DCCE_3_1;DCCE_3_2;DCCE_3_3;DCCE_3_4;DCCE_3_5;DCCE_3_6;DCCE_3_7,"WP2 data catalog v4 (DCCE_3_1-3_7): 7-sector composite Hazard x Exposure x Vulnerability risk index by province (agriculture, water, settlements, tourism, natural resources, public health) plus a cross-cutting climate index -- supplies the underlying numbers a risk-profile summary card needs, though not a rendered card itself. Data flagged Baseline-Draft/Unverified.",,PARTIAL,"Composite index data exists but is unverified/draft, not yet a rendered summary-card UI."
SIT-1.1.2,ความเสี่ยงสำคัญ และลำดับความสำคัญในการปรับตัวของประเทศไทย,พื้นที่เป้าหมายวิกฤต (Hotspots) รายสาขาและระดับภูมิภาค,"2, MUST",DAT-005,Spatial climate risk data across all 6 priority sectors could source hotspot/priority-area identification,,FULL,
SIT-1.1.2,ความเสี่ยงสำคัญ และลำดับความสำคัญในการปรับตัวของประเทศไทย,สรุปสาระสำคัญของแผนการปรับตัวต่อการเปลี่ยนแปลงสภาพภูมิอากาศระดับชาติ (NAP Summary),"1, MUST",PUB-009;DAT-021;MED-025;MED-111;MED-112,"Official Thailand NAP document, full text;NAP dataset entry in DGF catalog with adaptation/resilience tags;Media explainer summarizing the National Adaptation Plan;English-language NAP summary publication;Thai NAP summary media publication",A-BTR,FULL,
SIT-1.1.2,ความเสี่ยงสำคัญ และลำดับความสำคัญในการปรับตัวของประเทศไทย,ตัวอย่างมาตรการปรับตัวเด่นเชิงรุกที่มีความคุ้มค่าสูง,,MED-008;DAT-022,Media piece distilling success factors from 6 sectoral pilot adaptation areas;NbS guidance dataset with concrete adaptation measure content,,FULL,
SIT-1.2,สืบค้นข้อมูลรายพื้นที่,Search Hierarchy: รองรับการค้นหารายระดับการปกครอง (จังหวัด -> อำเภอ -> ตำบล),,GAP,,,GAP,
SIT-1.2,สืบค้นข้อมูลรายพื้นที่,Map Integration: แสดงตำแหน่งและขอบเขตการปกครองซ้อนทับบนแผนที่ความเสี่ยงเชิงพื้นที่ (Spatial Risk Map),"2, MUST",SYS-003;DAT-005,"Live DCCE climate risk map web app (riskarea) already renders spatial risk overlays;Underlying spatial risk dataset across 6 sectors, nationwide coverage",,GAP,
SIT-1.2,สืบค้นข้อมูลรายพื้นที่,Quick-view Dashboard: แสดงบัตรข้อมูลสรุปความเปราะบางเฉพาะจุด ภัยคุกคามหลัก และมาตรการที่แนะนำในเบื้องต้น,,SYS-003,"Existing risk-area web application could be the base for a vulnerability quick-view UI, though no dedicated dashboard product exists yet",,PARTIAL,No dedicated quick-view dashboard product exists — SYS-003 is a general risk-map app being stretched to cover this
