Sitemap_ID,Node_Title_TH,Node_Title_EN,Existing_Source_Asset,Content_Readiness,Implementation_Action,Grounding_Status
1.1,หน้าแรก (Executive Dashboard),National Climate Adaptation Overview,"CRI Phase 1 Executive Summary, News / Vision-Mission",Low - New Synthesis Required,Synthesize high-impact narrative from Vision vs CRI into landing summaries,Grounded (Existing Report)
1.2,ข้อมูลระดับพื้นที่ (My Area Profile),My Area Profile,"Spatial Risk Map v2, Risk MAP (Spatial Database)",Partial,Embed Risk MAP visualizations and develop provincial summary logic,Grounded (Existing System)
1.3,ช่วยฉันวางแผน (Help Me Plan),Help Me Plan,"Adaptation Library Concepts, CCE Information Portals",Low - New Synthesis Required,Design routing logic to measures and finance hubs; synthesize scattered links,Grounded (Existing Concept)
2.1,สรุปความเสี่ยงตามพื้นที่และสาขา,Summary of Risks by Area and Sector,"Spatial Risk Map v2, NC4, BTR1",Partial,Extract and reformat executive summaries from PDFs and Use the existing DCCE Spatial Risk Map as the foundational content for web display,Grounded (Existing Reports)
2.2,ตัวชี้วัดภูมิอากาศระดับชาติ,National Climate Indicators,TMD Climate Statistics,Partial,Link to existing datasets,Grounded (Official Stats)
2.3,ศูนย์กลางนโยบาย กฎหมาย และการเงิน,Policy; Law; and Finance Hub,"Strategic Review (2026), Climate Act, Finance Hub Assets",Partial-High,Link legislative status and finance data to the NAP planning cycle. Leverage past climate finance projects to provide user with necessary resources,Grounded (Existing Review/Draft)
2.4,การสนับสนุนการวางแผนและการเปิดเผยข้อมูล,Planning & Disclosure Support,"Risk DB Standard Baselines, CCIC / Data Catalog",Low - New Synthesis Required,Convert authoritative report baselines into disclosure-ready web templates,Grounded (Existing Standard)
3.1,วิทยาศาสตร์ภูมิอากาศและภัยคุกคาม,Climate Science & Hazards,"TMD data, CCIC Technical Data",High,Link to existing datasets,Grounded (Existing Data)
3.2,ความเสี่ยงและผลกระทบ,Risks and Impacts,"Risk DB (Vulnerability Model), Risk MAP",High,Use the existing DCCE Spatial Risk Map as the foundational content,Grounded (Existing Model)
3.3,ความสูญเสียและความเสียหาย (Loss and Damage),Loss and Damage,"CRI Phase 1 Impact Tracker, Disaster Reports",Low - New Synthesis Required,Synthesize historical disaster data into a dedicated UNFCCC-aligned dashboard,Grounded (Existing Prototype)
3.4,การวางแผนและการดำเนินงานปรับตัว,Adaptation Planning & Implementation,NAP Sectoral Guidelines,Partial,Transform static PDF guidelines into interactive step-by-step guidance,Grounded (Existing Guidelines)
3.5,การติดตามและประเมินผล,Results and Monitoring,"M&E platform, National Reports (NC/BUR)",Low - New Synthesis Required,Develop M&E outcomes dashboard based on GGA indicators and success stories,Grounded (Existing Platform)
4.1,ข้อมูลรายจังหวัด,Provincial Profiles,Spatial Risk Map v2 (77 Provinces),Partial,Synthesize narrative landing pages for 77 provinces using Spatial Risk Map and other reports,Grounded (Existing Data)
4.2,ข้อมูลรายสาขา,Sectoral Profiles,"Risk DB (6 Core Sectors), NC4, BTR1",Partial,Consolidate sectoral impacts and measures into unified sector hubs,Grounded (Existing Analysis)
5.1,คลังมาตรการการปรับตัว,Adaptation Measures Library,"Sectoral Concepts, News / Project Updates",Low - New Synthesis Required,Curate and structure measures from news archives and PDFs into a searchable library,Grounded (Scattered Evidence)
5.2,กรณีศึกษาและเรื่องราวความสำเร็จ,Case Studies & Success Stories,"Green Office, Eco School, Specialized Portals",Partial,Link and curate existing specialized portals as sectoral exemplars,Grounded (Existing Portals)
5.3,คู่มือทางเทคนิคและชุดเครื่องมือ,Technical Guidelines & Toolkits,"Risk DB Chapter 13, DCCE Website Resource Pages",Partial,Consolidate technical manuals into a searchable resource toolkit,Grounded (Existing Specs)
6.1,บัญชีรายการข้อมูล (Data Catalog),Data Catalog & Discovery,"Data Inventory (P3), CKAN Data Catalog",Low - New Synthesis Required,Required vetting on necessary data set and implementation of data governance to confidently publish official datasets,Grounded (Existing Catalog)
6.2,พอร์ทัลสำหรับนักพัฒนาและ APIs,Developer Portal & APIs,"Risk DB Backend, Open Data Portal",Partial,Develop API documentation and developer entry point for data streams,Grounded (Existing Architecture)
6.3,ระเบียบวิธี มาตรฐาน และความไม่แน่นอน,Methodology; Standards; and Uncertainty,"Risk DB Chapter 13, Policy Docs, Technical Manuals",Partial-High,Extract methodology from report and format as an explicit guidance page. Need endorsement from data owners and directors of the division at least.,Grounded (Existing Methodology)
7.1,ข่าวสาร ประกาศ และการติดต่อ,News; Announcements; and Contact,"Website Feed, News / Contact Us",High,Migrate institutional engagement channels and publication logs,Grounded (Active Assets)
