Section ID,Node ID,ชื่อโหนด (Thai Title),คำอธิบายเนื้อหา (Content Brief),แหล่งที่มาของข้อมูล (Evidence/Data Source),Technical Asset / URL Origin,ระดับความพร้อมของเนื้อหา (Content Readiness)
1,1.1.1,ภาพรวมความเสี่ยงจากการเปลี่ยนแปลงสภาพภูมิอากาศ,สรุปสถิติภัยพิบัติย้อนหลังและแผนภาพ Risk Profile ระดับประเทศ,DCCE Website (About Us) + NC4 Summary,dcce.go.th/about-us/vision-mission/,High (Migration-Ready)
1,1.1.2,ความเสี่ยงสำคัญ และลำดับความสำคัญในการปรับตัว,สรุป Priority จากแผน NAP และตัวอย่างมาตรการสำคัญ (Flagship Measures),NAP / DCCE Executive Center,dcce.go.th/datacenter/669/,High (Migration)
1,1.2,สืบค้นข้อมูลรายพื้นที่,ระบบค้นหาแบบ Drop-down (จังหวัด -> อำเภอ -> ตำบล) เพื่อส่งต่อไปหน้า Section 4.1,Risk DB / DOPA Index,ccic.dcce.go.th/riskarea,Partial (Engine Ready; UX Design Required)
2,2.1,สถานการณ์การเปลี่ยนแปลงสภาพภูมิอากาศของประเทศ,สถิติอากาศสุดขั้ว ผลกระทบและความเสียหายย้อนหลัง,NC4 Chapter 1-3 / BTR 1,dcce.go.th/datacenter/657/,Partial (Raw Data Ready; Synthesis Required)
2,2.2,สรุปโปรไฟล์ของความเสี่ยงรายพื้นที่และรายภาคส่วน,เปรียบเทียบ (Benchmarking) ความเสี่ยงระหว่างพื้นที่และสาขา,Risk DB Composite Index / CRI Report,DCCE_3_1 to DCCE_3_6 (Data Catalog),Low (Analytical Synthesis Required)
2,2.3,เครื่องมือทางนโยบาย กฎหมาย และการเงิน,ฐานข้อมูลเอกสารกฎหมาย รายการแหล่งทุน และสถานะงบประมาณ,DCCE Internal Library (Metadata needed),DCCE internal library,Low (Data Harvesting Required)
2,2.4,บริการข้อมูลสำหรับการวางแผน,แผนที่ความเสี่ยงเชิงพื้นที่ (GIS Layers) และคู่มือการตีความข้อมูล,Past projects,"Spatial Risk Map, Climate Hazard Visualization ",Low (GIS Ready; Manuals Missing)
3,3.1.1,ข้อมูลสังเกตุการณ์,อธิบายประเภทข้อมูลสังเกตการณ์ (TMD/Satellite/ENSO),TMD Weather API / GISTDA Portal,"api-gateway.gistda.or.th / hpc.tmd.go.th",Partial (API Ready; Explainer Synthesis Required)
3,3.1.2,ปัจจัยขับเคลื่อนทางภูมิอากาศ,ข้อมูล Climatology และบทอธิบาย Scenarios (RCP/SSP),NC4 Science Chapter / CMIP6 Baseline,IPCC AR6 Baseline,Low (Technical Data Ready; Narrative Synthesis Required)
3,3.1.3,ฉากทัศน์ภูมิอากาศในอนาคต,ข้อมูล Downscaled Data รายจังหวัด และตัวอย่างการใช้งาน,Risk DB Climate Scenarios,IPCC AR6,Partial (Data Ready; Content Synthesis Required)
3,3.2.1,การวิเคราะห์ความเปราะบางและการเปิดรับภัย,บทอธิบาย Exposure/Sens/Cap และ Damage Function,Risk DB Methodology / CRI Framework,ccic.dcce.go.th/riskarea,Low (Concept Explainer Required)
3,3.2.2,การวิเคราะห์ความเสี่ยง,กรอบการประเมินความเสี่ยงต่างๆ และบทสรุปพื้นที่/ภาคส่วน,Risk DB Methodology,DCCE_3_1 to DCCE_3_6 (Risk Indices),Low (Summary Synthesis Required)
