deliverable_id,asset_id,asset_title,asset_type,owner,link,registry_source,status_flags,match_type
DEL-1,DCCE_2_1,"ปริมาณน้ำฝน (GridData, historical)",Dataset,DCCE,https://clim-webbased.dcce.go.th/DataServices,data_catalog_v4,"Restricted; Unverified-Baseline",confirmed
DEL-1,DCCE_2_2,"อุณหภูมิสูงสุด (GridData, historical)",Dataset,DCCE,https://clim-webbased.dcce.go.th/DataServices,data_catalog_v4,"Restricted; Unverified-Baseline",confirmed
DEL-1,DCCE_2_3,"อุณหภูมิต่ำสุด (GridData, historical)",Dataset,DCCE,https://clim-webbased.dcce.go.th/DataServices,data_catalog_v4,"Restricted; Unverified-Baseline",potentially-relevant
DEL-1,DCCE_2_4,"อุณหภูมิเฉลี่ย (GridData, historical)",Dataset,DCCE,https://clim-webbased.dcce.go.th/DataServices,data_catalog_v4,"Restricted; Unverified-Baseline",potentially-relevant
DEL-1,DCCE_2_5,"ความชื้นสัมพัทธ์ (GridData, historical)",Dataset,DCCE,https://clim-webbased.dcce.go.th/DataServices,data_catalog_v4,"Restricted; Unverified-Baseline",potentially-relevant
DEL-1,TMD_6_1,TXx - อุณหภูมิสูงสุดของอุณหภูมิสูงสุดรายวัน,Dataset,TMD,unknown,data_catalog_v4,"Unverified-Baseline; not yet assessed",potentially-relevant
DEL-1,TMD_6_9,Rx1day - ปริมาณฝนสูงสุดใน 1 วัน,Dataset,TMD,unknown,data_catalog_v4,"Unverified-Baseline; not yet assessed",potentially-relevant
DEL-1,TMD_6_19,SPI-1 - ดัชนีฝนมาตรฐาน 1 เดือน,Dataset,TMD,unknown,data_catalog_v4,"Unverified-Baseline; not yet assessed",potentially-relevant
DEL-2,MED-015,การวิเคราะห์ความเปราะบางและขีดความสามารถในการปรับตัว,E-book Reader,กลุ่มประชาสัมพันธ์และสื่อสารสิ่งแวดล้อม,https://www.dcce.go.th/media/23820/,DCCE_Unified_Digital_Asset_Database,"methodology explainer only, no index dataset",confirmed
DEL-2,DOPA_1_1,จำนวนประชากร,Dataset,DOPA,unknown,data_catalog_v4,"Unverified-Baseline; not yet assessed",potentially-relevant
DEL-2,DOPA_1_2,จุดหมู่บ้าน,Dataset,DOPA,unknown,data_catalog_v4,"Unverified-Baseline; not yet assessed",potentially-relevant
DEL-2,DOPA_2_1,จำนวนครัวเรือนในขอบเขตเทศบาล,Dataset,DOPA,unknown,data_catalog_v4,"Unverified-Baseline; not yet assessed",potentially-relevant
DEL-2,NESDC_2_5,ดัชนีความยากจนหลายมิติ (MPI),Dataset,NESDC,unknown,data_catalog_v4,"Unverified-Baseline; not yet assessed",potentially-relevant
DEL-2,NSO_1_2,สำมะโนประชากรและเคหะ,Dataset,NSO,unknown,data_catalog_v4,"Unverified-Baseline; not yet assessed",potentially-relevant
DEL-3,TMD_1_1,ปริมาณฝนสะสม 1 ชั่วโมง (P1H),Dataset,TMD,unknown,data_catalog_v4,"external - link target, not a DCCE asset",potentially-relevant
DEL-3,TMD_1_5,อุณหภูมิผิวพื้น ที่ระดับ 2 เมตร (T2M),Dataset,TMD,unknown,data_catalog_v4,"external - link target, not a DCCE asset",potentially-relevant
DEL-3,GISTDA_1_1,ข้อมูลขอบเขตพื้นที่เผาไหม้ (ล่าสุด),Dataset,GISTDA,unknown,data_catalog_v4,"external - link target, not a DCCE asset",potentially-relevant
DEL-3,GISTDA_3_1,ขอบเขตน้ำท่วมจากภาพถ่ายดาวเทียม,Dataset,GISTDA,unknown,data_catalog_v4,"external - link target, not a DCCE asset",potentially-relevant
DEL-3,DMCR_2_1,ปะการังฟอกขาว,Dataset,DMCR,unknown,data_catalog_v4,"external - link target, not a DCCE asset",potentially-relevant
DEL-4,MD_1_2,ข้อมูลระดับน้ำทะเล,Dataset,MD,http://hydro.md.go.th/,data_catalog_v4,"Restricted; Unverified-Baseline",confirmed
DEL-4,DMCR_1_1,พื้นที่กัดเซาะชายฝั่ง (WebGIS DCCE),Dataset,DMCR,https://tcs.dmcr.go.th/dmcr/v2/router?page=dashboard,data_catalog_v4,"Restricted; Unverified-Baseline",confirmed
