UC ID,Service Group,Agency,Use Case / Decision Moment,Key Technical Specs,Source Anchors,Description (EN),Description (TH)
UC-01,S07,DCCE,National Adaptation Compliance Dashboard,"Variables: NAP Progress Indicators, Sectoral Adaptation Targets, GGA Alignment Metrics | Resolution: National/Provincial","S1, S3, Matrix-R1","This use case is designed for DCCE to facilitate the 'National Adaptation Compliance Dashboard'. It is primarily driven by decision moments such as Cabinet Reporting Mandate, NAP Statutory Requirement, UNFCCC Transparency Framework. The service provides critical intelligence products, requiring specific data parameters including NAP Progress Indicators, Sectoral Adaptation Targets, GGA Alignment Metrics at a National/Provincial resolution. Ultimately, this ensures that the agency can effectively execute its mandates with officially verified evidence.","กรณีการใช้งานนี้ถูกออกแบบมาสำหรับ กรมการเปลี่ยนแปลงสภาพภูมิอากาศและสิ่งแวดล้อม (DCCE) เพื่อสนับสนุนการดำเนินงานด้าน 'National Adaptation Compliance Dashboard' โดยมีเงื่อนไขสำคัญที่กระตุ้นให้เกิดการตัดสินใจคือ Cabinet Reporting Mandate, NAP Statutory Requirement, UNFCCC Transparency Framework ระบบจะส่งมอบข้อมูลอัจฉริยะที่ประกอบด้วย NAP Progress Indicators, Sectoral Adaptation Targets, GGA Alignment Metrics ในระดับความละเอียด National/Provincial เพื่อให้หน่วยงานสามารถปฏิบัติภารกิจและตัดสินใจเชิงนโยบายหรือปฏิบัติการได้อย่างมีประสิทธิภาพ บนพื้นฐานของข้อมูลที่ได้รับการรับรองความถูกต้อง"
UC-02,S01,DCCE,Provincial Risk Profiles,"Variables: Hazard Baselines, Provincial Vulnerability Index, Exposure Layers | Resolution: Provincial (with Sub-district drill-down)","S1, S3, Matrix-R1","This use case is designed for DCCE to facilitate the 'Provincial Risk Profiles'. It is primarily driven by decision moments such as National Risk Communication Strategy, Provincial Development Plan Alignment. The service provides critical intelligence products, requiring specific data parameters including Hazard Baselines, Provincial Vulnerability Index, Exposure Layers at a Provincial (with Sub-district drill-down) resolution. Ultimately, this ensures that the agency can effectively execute its mandates with officially verified evidence.","กรณีการใช้งานนี้ถูกออกแบบมาสำหรับ กรมการเปลี่ยนแปลงสภาพภูมิอากาศและสิ่งแวดล้อม (DCCE) เพื่อสนับสนุนการดำเนินงานด้าน 'Provincial Risk Profiles' โดยมีเงื่อนไขสำคัญที่กระตุ้นให้เกิดการตัดสินใจคือ National Risk Communication Strategy, Provincial Development Plan Alignment ระบบจะส่งมอบข้อมูลอัจฉริยะที่ประกอบด้วย Hazard Baselines, Provincial Vulnerability Index, Exposure Layers ในระดับความละเอียด Provincial (with Sub-district drill-down) เพื่อให้หน่วยงานสามารถปฏิบัติภารกิจและตัดสินใจเชิงนโยบายหรือปฏิบัติการได้อย่างมีประสิทธิภาพ บนพื้นฐานของข้อมูลที่ได้รับการรับรองความถูกต้อง"
UC-03,S01,TBA,Standardized Sectoral Damage Functions,"Variables: Sectoral Damage Functions, Depth-Damage Curves, Asset Type Classification | Resolution: Asset-level (Point/Building)","TBA, S1, Matrix-R2, Raw-G1-1","This use case is designed for TBA to facilitate the 'Standardized Sectoral Damage Functions'. It is primarily driven by decision moments such as BoT Physical Risk Framework, ICAAP Stress Testing, TCFD Compliance. The service provides critical intelligence products, requiring specific data parameters including Sectoral Damage Functions, Depth-Damage Curves, Asset Type Classification at a Asset-level (Point/Building) resolution. Ultimately, this ensures that the agency can effectively execute its mandates with officially verified evidence.","กรณีการใช้งานนี้ถูกออกแบบมาสำหรับ สมาคมธนาคารไทย (TBA) เพื่อสนับสนุนการดำเนินงานด้าน 'Standardized Sectoral Damage Functions' โดยมีเงื่อนไขสำคัญที่กระตุ้นให้เกิดการตัดสินใจคือ BoT Physical Risk Framework, ICAAP Stress Testing, TCFD Compliance ระบบจะส่งมอบข้อมูลอัจฉริยะที่ประกอบด้วย Sectoral Damage Functions, Depth-Damage Curves, Asset Type Classification ในระดับความละเอียด Asset-level (Point/Building) เพื่อให้หน่วยงานสามารถปฏิบัติภารกิจและตัดสินใจเชิงนโยบายหรือปฏิบัติการได้อย่างมีประสิทธิภาพ บนพื้นฐานของข้อมูลที่ได้รับการรับรองความถูกต้อง"
UC-04,S01,TBA,Asset-level Probabilistic Risk Maps,"Variables: Flood Depth, Flood Duration, Flood Type (Pluvial/Riverine/Coastal) | Resolution: Asset-level (Point Location)","TBA, S1, Matrix-R2, Raw-G1-2","This use case is designed for TBA to facilitate the 'Asset-level Probabilistic Risk Maps'. It is primarily driven by decision moments such as BoT Stress Testing, Credit Risk Assessment, Collateral Valuation. The service provides critical intelligence products, requiring specific data parameters including Flood Depth, Flood Duration, Flood Type (Pluvial/Riverine/Coastal) at a Asset-level (Point Location) resolution. Ultimately, this ensures that the agency can effectively execute its mandates with officially verified evidence.","กรณีการใช้งานนี้ถูกออกแบบมาสำหรับ สมาคมธนาคารไทย (TBA) เพื่อสนับสนุนการดำเนินงานด้าน 'Asset-level Probabilistic Risk Maps' โดยมีเงื่อนไขสำคัญที่กระตุ้นให้เกิดการตัดสินใจคือ BoT Stress Testing, Credit Risk Assessment, Collateral Valuation ระบบจะส่งมอบข้อมูลอัจฉริยะที่ประกอบด้วย Flood Depth, Flood Duration, Flood Type (Pluvial/Riverine/Coastal) ในระดับความละเอียด Asset-level (Point Location) เพื่อให้หน่วยงานสามารถปฏิบัติภารกิจและตัดสินใจเชิงนโยบายหรือปฏิบัติการได้อย่างมีประสิทธิภาพ บนพื้นฐานของข้อมูลที่ได้รับการรับรองความถูกต้อง"
UC-05,S05,OTP,Climate-Adjusted Engineering Parameters,"Variables: Rainfall Intensity, Peak Flow, Temperature Extremes | Resolution: Infrastructure Network Level","OTP, S1, Matrix-R3, Raw-G2-26","This use case is designed for OTP to facilitate the 'Climate-Adjusted Engineering Parameters'. It is primarily driven by decision moments such as Infrastructure Design Code Revision, Bureau of Budget (BoB) Justification, Technical Necessity Audit. The service provides critical intelligence products, requiring specific data parameters including Rainfall Intensity, Peak Flow, Temperature Extremes at a Infrastructure Network Level resolution. Ultimately, this ensures that the agency can effectively execute its mandates with officially verified evidence.","กรณีการใช้งานนี้ถูกออกแบบมาสำหรับ สำนักงานนโยบายและแผนการขนส่งและจราจร (สนข.) เพื่อสนับสนุนการดำเนินงานด้าน 'Climate-Adjusted Engineering Parameters' โดยมีเงื่อนไขสำคัญที่กระตุ้นให้เกิดการตัดสินใจคือ Infrastructure Design Code Revision, Bureau of Budget (BoB) Justification, Technical Necessity Audit ระบบจะส่งมอบข้อมูลอัจฉริยะที่ประกอบด้วย Rainfall Intensity, Peak Flow, Temperature Extremes ในระดับความละเอียด Infrastructure Network Level เพื่อให้หน่วยงานสามารถปฏิบัติภารกิจและตัดสินใจเชิงนโยบายหรือปฏิบัติการได้อย่างมีประสิทธิภาพ บนพื้นฐานของข้อมูลที่ได้รับการรับรองความถูกต้อง"
UC-06,S05,OTP,Highway KM-marker Hazard Projections,"Variables: Inundation Depth at KM, Landslide Risk at KM | Resolution: KM-marker (Point/Segment)","OTP, S1, Matrix-R3, Raw-G2-37","This use case is designed for OTP to facilitate the 'Highway KM-marker Hazard Projections'. It is primarily driven by decision moments such as Maintenance Cycle Planning, Critical Route Resilience Audit. The service provides critical intelligence products, requiring specific data parameters including Inundation Depth at KM, Landslide Risk at KM at a KM-marker (Point/Segment) resolution. Ultimately, this ensures that the agency can effectively execute its mandates with officially verified evidence.","กรณีการใช้งานนี้ถูกออกแบบมาสำหรับ สำนักงานนโยบายและแผนการขนส่งและจราจร (สนข.) เพื่อสนับสนุนการดำเนินงานด้าน 'Highway KM-marker Hazard Projections' โดยมีเงื่อนไขสำคัญที่กระตุ้นให้เกิดการตัดสินใจคือ Maintenance Cycle Planning, Critical Route Resilience Audit ระบบจะส่งมอบข้อมูลอัจฉริยะที่ประกอบด้วย Inundation Depth at KM, Landslide Risk at KM ในระดับความละเอียด KM-marker (Point/Segment) เพื่อให้หน่วยงานสามารถปฏิบัติภารกิจและตัดสินใจเชิงนโยบายหรือปฏิบัติการได้อย่างมีประสิทธิภาพ บนพื้นฐานของข้อมูลที่ได้รับการรับรองความถูกต้อง"
UC-07,S05,DPT,Resilient Urban Planning Guidance,"Variables: Hazard Zonation, Land Use Suitability, Ecosystem Service Value | Resolution: Urban/Neighborhood Scale","DPT, S1, Matrix-R4, Raw-G2-27","This use case is designed for DPT to facilitate the 'Resilient Urban Planning Guidance'. It is primarily driven by decision moments such as Urban Planning Act, Zoning Restrictions, Green Building Standards. The service provides critical intelligence products, requiring specific data parameters including Hazard Zonation, Land Use Suitability, Ecosystem Service Value at a Urban/Neighborhood Scale resolution. Ultimately, this ensures that the agency can effectively execute its mandates with officially verified evidence.","กรณีการใช้งานนี้ถูกออกแบบมาสำหรับ กรมโยธาธิการและผังเมือง (ยผ.) เพื่อสนับสนุนการดำเนินงานด้าน 'Resilient Urban Planning Guidance' โดยมีเงื่อนไขสำคัญที่กระตุ้นให้เกิดการตัดสินใจคือ Urban Planning Act, Zoning Restrictions, Green Building Standards ระบบจะส่งมอบข้อมูลอัจฉริยะที่ประกอบด้วย Hazard Zonation, Land Use Suitability, Ecosystem Service Value ในระดับความละเอียด Urban/Neighborhood Scale เพื่อให้หน่วยงานสามารถปฏิบัติภารกิจและตัดสินใจเชิงนโยบายหรือปฏิบัติการได้อย่างมีประสิทธิภาพ บนพื้นฐานของข้อมูลที่ได้รับการรับรองความถูกต้อง"
UC-08,S05,DPT,Climate-Adjusted Rainfall Intensity Tables,"Variables: IDF Curves, Hourly Rainfall Intensity, Climate Change Factors | Resolution: Station/City Grid","DPT, S1, Matrix-R4, Raw-G2-26","This use case is designed for DPT to facilitate the 'Climate-Adjusted Rainfall Intensity Tables'. It is primarily driven by decision moments such as Drainage System Redesign, Urban Hydrology Standards. The service provides critical intelligence products, requiring specific data parameters including IDF Curves, Hourly Rainfall Intensity, Climate Change Factors at a Station/City Grid resolution. Ultimately, this ensures that the agency can effectively execute its mandates with officially verified evidence.","กรณีการใช้งานนี้ถูกออกแบบมาสำหรับ กรมโยธาธิการและผังเมือง (ยผ.) เพื่อสนับสนุนการดำเนินงานด้าน 'Climate-Adjusted Rainfall Intensity Tables' โดยมีเงื่อนไขสำคัญที่กระตุ้นให้เกิดการตัดสินใจคือ Drainage System Redesign, Urban Hydrology Standards ระบบจะส่งมอบข้อมูลอัจฉริยะที่ประกอบด้วย IDF Curves, Hourly Rainfall Intensity, Climate Change Factors ในระดับความละเอียด Station/City Grid เพื่อให้หน่วยงานสามารถปฏิบัติภารกิจและตัดสินใจเชิงนโยบายหรือปฏิบัติการได้อย่างมีประสิทธิภาพ บนพื้นฐานของข้อมูลที่ได้รับการรับรองความถูกต้อง"
UC-09,S04,NESDC,Macro-Economic True Loss Reports,"Variables: Direct Asset Damage, Indirect Economic Loss, Supply Chain Disruption Cost | Resolution: Sectoral / National","NESDC, S1, Matrix-R5, Raw-G1-5","This use case is designed for NESDC to facilitate the 'Macro-Economic True Loss Reports'. It is primarily driven by decision moments such as GDP Forecast Adjustment, National Disaster Reporting, OAG Compliance. The service provides critical intelligence products, requiring specific data parameters including Direct Asset Damage, Indirect Economic Loss, Supply Chain Disruption Cost at a Sectoral / National resolution. Ultimately, this ensures that the agency can effectively execute its mandates with officially verified evidence.","กรณีการใช้งานนี้ถูกออกแบบมาสำหรับ สำนักงานสภาพัฒนาการเศรษฐกิจและสังคมแห่งชาติ (สภาพัฒน์) เพื่อสนับสนุนการดำเนินงานด้าน 'Macro-Economic True Loss Reports' โดยมีเงื่อนไขสำคัญที่กระตุ้นให้เกิดการตัดสินใจคือ GDP Forecast Adjustment, National Disaster Reporting, OAG Compliance ระบบจะส่งมอบข้อมูลอัจฉริยะที่ประกอบด้วย Direct Asset Damage, Indirect Economic Loss, Supply Chain Disruption Cost ในระดับความละเอียด Sectoral / National เพื่อให้หน่วยงานสามารถปฏิบัติภารกิจและตัดสินใจเชิงนโยบายหรือปฏิบัติการได้อย่างมีประสิทธิภาพ บนพื้นฐานของข้อมูลที่ได้รับการรับรองความถูกต้อง"
UC-10,S07,NESDC,SDG Baseline Indicators,"Variables: SDG 13.1.1 (Death/Affected), Indicator 11.b.2 (DRR Strategy), Unified Baseline Metrics | Resolution: National / Provincial","NESDC, S1, Matrix-R5, Raw-G5-58","This use case is designed for NESDC to facilitate the 'SDG Baseline Indicators'. It is primarily driven by decision moments such as SDG Voluntary National Review (VNR) 2025, Milestone 11 Tracking (13th Plan). The service provides critical intelligence products, requiring specific data parameters including SDG 13.1.1 (Death/Affected), Indicator 11.b.2 (DRR Strategy), Unified Baseline Metrics at a National / Provincial resolution. Ultimately, this ensures that the agency can effectively execute its mandates with officially verified evidence.","กรณีการใช้งานนี้ถูกออกแบบมาสำหรับ สำนักงานสภาพัฒนาการเศรษฐกิจและสังคมแห่งชาติ (สภาพัฒน์) เพื่อสนับสนุนการดำเนินงานด้าน 'SDG Baseline Indicators' โดยมีเงื่อนไขสำคัญที่กระตุ้นให้เกิดการตัดสินใจคือ SDG Voluntary National Review (VNR) 2025, Milestone 11 Tracking (13th Plan) ระบบจะส่งมอบข้อมูลอัจฉริยะที่ประกอบด้วย SDG 13.1.1 (Death/Affected), Indicator 11.b.2 (DRR Strategy), Unified Baseline Metrics ในระดับความละเอียด National / Provincial เพื่อให้หน่วยงานสามารถปฏิบัติภารกิจและตัดสินใจเชิงนโยบายหรือปฏิบัติการได้อย่างมีประสิทธิภาพ บนพื้นฐานของข้อมูลที่ได้รับการรับรองความถูกต้อง"
