quantitative_value_id,evidence_unit_id,metric_name,value_numeric,unit,comparison_operator,time_period,geography,scenario_label,notes,target_cdm_entity,mapping_type,mapping_rationale
QTY-001,EVU-004,population,65.95,million,=,2024,Thailand,,Demographic baseline,VULNERABILITY_DETERMINANT,Existing Entity,Baseline demographic/socio-economic normalizer
QTY-002,EVU-004,urbanization_rate,34.3,%,=,2024,Thailand,,Residing in urban areas,VULNERABILITY_DETERMINANT,Existing Entity,Baseline demographic/socio-economic normalizer
QTY-003,EVU-044,observed_annual_mean_temperature,28.5,°C,=,2024,Thailand,,Highest in 74 years,METEOROLOGICAL_OBSERVATION,Existing Entity,Direct station climate observation
QTY-004,EVU-044,temperature_anomaly_above_normal,1.1,°C,+,2024,Thailand,,Relative to 1991-2020 normal of 27.4°C,METEOROLOGICAL_OBSERVATION,Existing Entity,Direct station climate observation
QTY-005,EVU-047,projected_mean_temperature_increase_min,0.98,°C,+,2021-2040,Thailand,SSP2-4.5/SSP5-8.5,,CLIMATE_PROJECTION,Proposed Entity,Future projected hazard and climate parameter
QTY-006,EVU-047,projected_mean_temperature_increase_max,1.34,°C,+,2021-2040,Thailand,SSP2-4.5/SSP5-8.5,,CLIMATE_PROJECTION,Proposed Entity,Future projected hazard and climate parameter
QTY-007,EVU-047,projected_mean_temperature_increase_min,1.42,°C,+,2041-2060,Thailand,SSP2-4.5/SSP5-8.5,,CLIMATE_PROJECTION,Proposed Entity,Future projected hazard and climate parameter
QTY-008,EVU-047,projected_mean_temperature_increase_max,1.98,°C,+,2041-2060,Thailand,SSP2-4.5/SSP5-8.5,,CLIMATE_PROJECTION,Proposed Entity,Future projected hazard and climate parameter
QTY-009,EVU-047,projected_mean_temperature_increase_min,2.01,°C,+,2081-2100,Thailand,SSP2-4.5/SSP5-8.5,,CLIMATE_PROJECTION,Proposed Entity,Future projected hazard and climate parameter
QTY-010,EVU-047,projected_mean_temperature_increase_max,3.39,°C,+,2081-2100,Thailand,SSP2-4.5/SSP5-8.5,,CLIMATE_PROJECTION,Proposed Entity,Future projected hazard and climate parameter
QTY-011,EVU-049,projected_tmax_increase_min,0.9,°C,+,2021-2040,Thailand,SSP2-4.5/SSP5-8.5,,CLIMATE_PROJECTION,Proposed Entity,Future projected hazard and climate parameter
QTY-012,EVU-049,projected_tmax_increase_max,1.16,°C,+,2021-2040,Thailand,SSP2-4.5/SSP5-8.5,,CLIMATE_PROJECTION,Proposed Entity,Future projected hazard and climate parameter
QTY-013,EVU-049,projected_tmax_increase_min,1.33,°C,+,2041-2060,Thailand,SSP2-4.5/SSP5-8.5,,CLIMATE_PROJECTION,Proposed Entity,Future projected hazard and climate parameter
QTY-014,EVU-049,projected_tmax_increase_max,1.84,°C,+,2041-2060,Thailand,SSP2-4.5/SSP5-8.5,,CLIMATE_PROJECTION,Proposed Entity,Future projected hazard and climate parameter
QTY-015,EVU-049,projected_tmax_increase_min,1.92,°C,+,2081-2100,Thailand,SSP2-4.5/SSP5-8.5,,CLIMATE_PROJECTION,Proposed Entity,Future projected hazard and climate parameter
QTY-016,EVU-049,projected_tmax_increase_max,3.42,°C,+,2081-2100,Thailand,SSP2-4.5/SSP5-8.5,,CLIMATE_PROJECTION,Proposed Entity,Future projected hazard and climate parameter
QTY-017,EVU-050,projected_tmin_increase_min,1.08,°C,+,2021-2040,Thailand,SSP2-4.5/SSP5-8.5,,CLIMATE_PROJECTION,Proposed Entity,Future projected hazard and climate parameter
QTY-018,EVU-050,projected_tmin_increase_max,1.43,°C,+,2021-2040,Thailand,SSP2-4.5/SSP5-8.5,,CLIMATE_PROJECTION,Proposed Entity,Future projected hazard and climate parameter
QTY-019,EVU-050,projected_tmin_increase_min,1.47,°C,+,2041-2060,Thailand,SSP2-4.5/SSP5-8.5,,CLIMATE_PROJECTION,Proposed Entity,Future projected hazard and climate parameter
QTY-020,EVU-050,projected_tmin_increase_max,2.08,°C,+,2041-2060,Thailand,SSP2-4.5/SSP5-8.5,,CLIMATE_PROJECTION,Proposed Entity,Future projected hazard and climate parameter
QTY-021,EVU-050,projected_tmin_increase_min,2.03,°C,+,2081-2100,Thailand,SSP2-4.5/SSP5-8.5,,CLIMATE_PROJECTION,Proposed Entity,Future projected hazard and climate parameter
QTY-022,EVU-050,projected_tmin_increase_max,3.49,°C,+,2081-2100,Thailand,SSP2-4.5/SSP5-8.5,,CLIMATE_PROJECTION,Proposed Entity,Future projected hazard and climate parameter
QTY-023,EVU-055,observed_annual_rainfall,1704.4,mm,=,2024,Thailand,,,METEOROLOGICAL_OBSERVATION,Existing Entity,Direct station climate observation
QTY-024,EVU-055,rainfall_anomaly_above_normal,81.5,mm,+,2024,Thailand,,"Relative to 1991-2020 average of 1,622.9 mm",METEOROLOGICAL_OBSERVATION,Existing Entity,Direct station climate observation
QTY-025,EVU-055,rainfall_anomaly_percentage,5.0,%,+,2024,Thailand,,,METEOROLOGICAL_OBSERVATION,Existing Entity,Direct station climate observation
QTY-026,EVU-055,rainfall_increase_relative_to_previous_year,183.8,mm,+,2024,Thailand,,Higher than 2023,METEOROLOGICAL_OBSERVATION,Existing Entity,Direct station climate observation
QTY-027,EVU-065,observed_sea_surface_temperature,32.7,°C,=,May 2024,Eastern Gulf of Thailand,,,METEOROLOGICAL_OBSERVATION,Existing Entity,Direct station climate observation
QTY-028,EVU-071,flooded_provinces_count,69.0,provinces,=,2022,Thailand,,,DISASTER_EVENT,MVD Synced Entity,Historical disaster event
QTY-029,EVU-074,historical_flood_return_period,120.0,years,=,Historical,Chao Phraya Basin,,,DISASTER_EVENT,MVD Synced Entity,Historical disaster event
QTY-030,EVU-074,projected_flood_return_period,19.0,years,=,2040-2059,Chao Phraya Basin,SSP2-4.5,,CLIMATE_PROJECTION,Proposed Entity,Future projected hazard and climate parameter
QTY-031,EVU-074,projected_flood_return_period,6.0,years,=,2040-2059,Chao Phraya Basin,SSP5-8.5,,CLIMATE_PROJECTION,Proposed Entity,Future projected hazard and climate parameter
QTY-032,EVU-075,flood_recurrence_probability_2011_equivalent,50.0,%,=,By 2050,Chao Phraya Basin,,,CLIMATE_PROJECTION,Proposed Entity,Projected risk probability
QTY-033,EVU-077,elevation_msl_min,0.5,meters,=,Current,Bangkok,,,ENVIRONMENTAL_DATA,Existing Entity,Topographical/geographical baseline dataset registered under Environmental Data
QTY-034,EVU-077,elevation_msl_max,1.5,meters,=,Current,Bangkok,,,ENVIRONMENTAL_DATA,Existing Entity,Topographical/geographical baseline dataset registered under Environmental Data
QTY-035,EVU-079,worst_drought_recurrence_period,15.0,years,=,2015,Thailand,,,CLIMATE_PROJECTION,Proposed Entity,Projected risk probability
QTY-036,EVU-085,landslide_incidents_count,310.0,incidents,>,2024,Thailand,,,DISASTER_EVENT,MVD Synced Entity,Historical disaster event
QTY-037,EVU-087,landslide_probability_increase,90.0,%,+,Future,Thailand,RCP 4.5,For 100-year extreme events,CLIMATE_PROJECTION,Proposed Entity,Future projected hazard and climate parameter
QTY-038,EVU-087,landslide_affected_area_share,40.0,%,>,Future,Thailand,RCP 4.5,,DISASTER_EVENT,MVD Synced Entity,Historical disaster event
QTY-039,EVU-087,landslide_high_risk_area_share,80.0,%,=,Future,Thailand,RCP 8.5,,DISASTER_EVENT,MVD Synced Entity,Historical disaster event
QTY-040,EVU-089,landslide_probability_threshold,0.9,probability,>,2040-2059,Thailand,RCP 8.5,,CLIMATE_PROJECTION,Proposed Entity,Future projected hazard and climate parameter
QTY-041,EVU-094,historical_cyclones_total,206.0,cyclones,=,1951-2024,Thailand,,,HAZARDOUS_EVENT,Existing Entity,Historical hazard profile
QTY-042,EVU-094,average_cyclone_frequency,2.78,events/year,=,1951-2024,Thailand,,,HAZARDOUS_EVENT,Existing Entity,Historical hazard profile
QTY-043,EVU-095,cyclone_seasonality_share,80.6,%,=,August-November,Thailand,,,HAZARDOUS_EVENT,Existing Entity,Historical hazard profile
QTY-044,EVU-095,cyclone_seasonality_share_october,27.2,%,=,October,Thailand,,,HAZARDOUS_EVENT,Existing Entity,Historical hazard profile
QTY-045,EVU-095,cyclone_seasonality_share_september,26.7,%,=,September,Thailand,,,HAZARDOUS_EVENT,Existing Entity,Historical hazard profile
QTY-046,EVU-098,synthetic_cyclones_count,64000.0,cyclones,>,Future,Thailand,SSP2-4.5/SSP5-8.5,,CLIMATE_PROJECTION,Proposed Entity,Projected synthetic cyclones
QTY-047,EVU-098,gcm_count,9.0,models,=,Future,Thailand,SSP2-4.5/SSP5-8.5,,CLIMATE_PROJECTION,Proposed Entity,Number of global climate models used for projections
QTY-048,EVU-099,extreme_wind_speed_increase,100.0,%,>,Future,Bangkok,,99th percentile maximum wind speed,CLIMATE_PROJECTION,Proposed Entity,Future projected hazard and climate parameter
QTY-049,EVU-100,extreme_cyclone_duration_increase,72.0,%,+,Future,Thailand,SSP2-4.5,,CLIMATE_PROJECTION,Proposed Entity,Future projected hazard and climate parameter
QTY-050,EVU-101,wildfire_incidents_total,60000.0,incidents,>,Past Decade,Thailand,,,DISASTER_EVENT,MVD Synced Entity,Historical wildfire disaster events
