req_id,node,node_name,sitemap_node_id,requirement_en,requirement_th,status,status_before_correction,corrected_2026_08_12,handling,handling_label,deliverable,service_brief,data_spec,reporting_tag,matched_asset_ids,matched_asset_names,match_rationale,uncovered_subtopics,note
REQ-001,1.1,Overview of Thailand climate risk,SIT-1.1.1,History and trends of natural disaster events,ประวัติศาสตร์และแนวโน้มภัยธรรมชาติของประเทศ,PARTIAL,GAP,YES,D,Ready to build,DEL-12,,DS-08,,DDPM_2_1,ข้อมูลเหตุการณ์ภัยพิบัติย้อนหลัง 10 ปี (10-year historical disaster occurrence data) [Mooban/Restricted/Baseline-Draft],"WP2 data catalog v4: DDPM_2_1 is a real 10-year historical disaster occurrence dataset — one-way LAO-to-province reporting, no ground-truthing, no UNDRR taxonomy, Restricted access. A real starting point, not a from-scratch compilation.",,"elevated to its own native disaster-statistics product; shares DDPM source data with REQ-049; status corrected GAP to PARTIAL 2026-08-13 after DDPM_2_1 was surfaced during the deliverable-asset mapping pass"
REQ-002,1.1,Overview of Thailand climate risk,SIT-1.1.1,IPCC risk framework and definitions,กรอบแนวคิดและนิยามความเสี่ยงตามมาตรฐาน IPCC (Hazard Exposure Vulnerability),FULL,FULL,,A,Already covered,,,,"2, MUST",PUB-012;DAT-014,คู่มือการจัดทำห่วงโซ่ผลกระทบจากการเปลี่ยนแปลงสภาพภูมิอากาศ | ข้อมูลการประเมินผลการปรับตัวต่อการเปลี่ยนแปลงสภาพภูมิอากาศ,"DCCE impact-chain manual embeds hazard-exposure-vulnerability methodology used for national risk analysis;Dataset explicitly tagged IPCC, Vulnerability, Adaptation; defines CCA per IPCC terms",,existing asset
REQ-003,1.1,Overview of Thailand climate risk,SIT-1.1.1,Physical risk and transition risk,ความเข้าใจความเสี่ยงทางกายภาพ (Physical Risk) และความเสี่ยงจากการเปลี่ยนผ่าน (Transition Risk),GAP,GAP,,D,Ready to build,DEL-7,,,"2, MUST",,,,,
REQ-004,1.1,Overview of Thailand climate risk,SIT-1.1.1,National risk summary cards,แผนภาพและบัตรข้อมูลสรุปความเสี่ยงระดับชาติ (National Risk Profile Summary Cards),PARTIAL,PARTIAL,,B,Product surface,,,,,DCCE_3_1;DCCE_3_2;DCCE_3_3;DCCE_3_4;DCCE_3_5;DCCE_3_6;DCCE_3_7,ความเสี่ยงสาขาการเกษตรและความมั่นคงทาง [Province/Public/Baseline-Draft] | ความเสี่ยงสาขาการจัดการน้ำ [Province/Public/Baseline-Draft] | ความเสี่ยงสาขาการตั้งถิ่นฐานและความมั่ [Province/Public/Baseline-Draft] | ความเสี่ยงสาขาการท่องเที่ยว [Province/Public/Baseline-Draft] | ความเสี่ยงสาขาทรัพยากรธรรมชาติและสิ่งแ [Province/Public/Baseline-Draft] | ความเสี่ยงสาขาสาธารณสุข [Province/Public/Baseline-Draft] | ดัชนีภูมิอากาศ [Province/Public/Baseline-Draft],"WP2 data catalog v4 (DCCE_3_1-3_7): 7-sector composite Hazard x Exposure x Vulnerability risk index by province (agriculture, water, settlements, tourism, natural resources, public health) plus a cross-cutting climate index -- supplies the underlying numbers a risk-profile summary card needs, though not a rendered card itself. Data flagged Baseline-Draft/Unverified.","Composite index data exists but is unverified/draft, not yet a rendered summary-card UI.",product surface: national risk summary cards — data adequacy unassessed; see DEL-13 hosting migration
REQ-005,1.1,Overview of Thailand climate risk,SIT-1.1.2,Critical hotspots by sector and region,พื้นที่เป้าหมายวิกฤต (Hotspots) รายสาขาและระดับภูมิภาค,FULL,FULL,,B,Product surface,,,,"2, MUST",DAT-005,ข้อมูลความเสี่ยงจากการเปลี่ยนแปลงสภาพภูมิอากาศ,Spatial climate risk data across all 6 priority sectors could source hotspot/priority-area identification,,product surface — recorded Full rests on unverified product credit; adequacy unassessed
REQ-006,1.1,Overview of Thailand climate risk,SIT-1.1.2,National adaptation plan summary,สรุปสาระสำคัญของแผนการปรับตัวต่อการเปลี่ยนแปลงสภาพภูมิอากาศระดับชาติ (NAP Summary),FULL,FULL,,A,Already covered,,,,"1, MUST",PUB-009;DAT-021;MED-025;MED-111;MED-112,แผนการปรับตัวต่อการเปลี่ยนแปลงสภาพภูมิอากาศแห่งชาติ (Thailan | แผนการปรับตัวต่อการเปลี่ยนแปลงสภาพภูมิอากาศแหงชาติ | แผนการปรับตัวต่อการเปลี่ยนแปลงสภาพภูมิอากาศแห่งชาติ  (Nation | Thailand’s National Adaptation Plan (NAP) | English Edition | แผนการปรับตัวต่อการเปลี่ยนแปลงสภาพภูมิอากาศ (Thailand's Nati,"Official Thailand NAP document, full text;NAP dataset entry in DGF catalog with adaptation/resilience tags;Media explainer summarizing the National Adaptation Plan;English-language NAP summary publication;Thai NAP summary media publication",,existing asset
REQ-007,1.1,Overview of Thailand climate risk,SIT-1.1.2,Examples of high-value adaptation measures,ตัวอย่างมาตรการปรับตัวเด่นเชิงรุกที่มีความคุ้มค่าสูง,FULL,FULL,,A,Already covered,,,,,MED-008;DAT-022,ถอดรหัสความสำเร็จจากพื้นที่ต้นแบบทั้ง 6 สาขา ปัจจัยสู่ความเข | ชุดเเนวทางการปรับตัวต่อการเปลี่ยนเเปลงสภาพภูมิอากาศโดยใช้เเน,Media piece distilling success factors from 6 sectoral pilot adaptation areas;NbS guidance dataset with concrete adaptation measure content,,existing asset
REQ-008,1.2,Area-based data search,SIT-1.2,Search by administrative level,Search Hierarchy: รองรับการค้นหารายระดับการปกครอง (จังหวัด -> อำเภอ -> ตำบล),PARTIAL,GAP,YES,D,Ready to build,DEL-2,,DS-01,,DCCE_3_1;DCCE_3_2;DCCE_3_3;DCCE_3_4;DCCE_3_5;DCCE_3_6,Province-level composite risk index [Baseline-Draft/Unverified-Baseline],"DS-01 (Appendix B2) already names REQ-008 as served by this data at province level. Composite method not reversible to inputs, so this covers province-level search only.","Sub-provincial (district/sub-district) exposure, vulnerability, or risk data confirmed absent — needs Brief E-5 or E-6, not covered by DS-01.","needs interim fallback rule; DOPA admin geography ≠ LAO jurisdiction, see Brief E-5/E-6 and Appendix E; status corrected GAP to PARTIAL 2026-08-14 after DS-01's existing REQ-008 linkage was cross-referenced into the deliverable-asset mapping"
REQ-009,1.2,Area-based data search,SIT-1.2,Map integration with administrative boundaries,Map Integration: แสดงตำแหน่งและขอบเขตการปกครองซ้อนทับบนแผนที่ความเสี่ยงเชิงพื้นที่ (Spatial Risk Map),GAP,FULL,YES,B,Product surface,,,,"2, MUST",SYS-003;DAT-005,ฐานข้อมูลความเสี่ยงจากการเปลี่ยนแปลงสภาพภูมิอากาศ | ข้อมูลความเสี่ยงจากการเปลี่ยนแปลงสภาพภูมิอากาศ,"Live DCCE climate risk map web app (riskarea) already renders spatial risk overlays;Underlying spatial risk dataset across 6 sectors, nationwide coverage",,product surface: map overlay — data adequacy unassessed
REQ-010,1.2,Area-based data search,SIT-1.2,Quick-view point dashboard,Quick-view Dashboard: แสดงบัตรข้อมูลสรุปความเปราะบางเฉพาะจุด ภัยคุกคามหลัก และมาตรการที่แนะนำในเบื้องต้น,PARTIAL,PARTIAL,,B,Product surface,,,,,SYS-003,ฐานข้อมูลความเสี่ยงจากการเปลี่ยนแปลงสภาพภูมิอากาศ,"Existing risk-area web application could be the base for a vulnerability quick-view UI, though no dedicated dashboard product exists yet",No dedicated quick-view dashboard product exists — SYS-003 is a general risk-map app being stretched to cover this,product surface: quick-view dashboard — data adequacy unassessed
REQ-011,2.1,National climate change situation,SIT-2.1,Historical extreme weather statistics,สถิติเหตุการณ์อากาศสุดขั้วในอดีต (อุณหภูมิสูงสุด-ต่ำสุด สถิติปริมาณฝนสะสม),PARTIAL,PARTIAL,YES,D,Ready to build,DEL-12,,DS-08,,DDPM_2_1,ข้อมูลเหตุการณ์ภัยพิบัติย้อนหลัง 10 ปี (10-year historical disaster occurrence data) [Mooban/Restricted/Baseline-Draft],"WP2 data catalog v4: DDPM_2_1 is the same 10-year historical disaster occurrence dataset backing REQ-001 -- one-way LAO-to-province reporting, no ground-truthing, no UNDRR taxonomy, Restricted access. The v8 sitemap wording (เหตุการณ์อากาศสุดขั้ว, extreme weather EVENTS) matches this event-record data, not DCCE's climatology grids.",,"re-scoped 2026-08-13 from DCCE_2_1/DCCE_2_2 (Thailand Climatology Dashboard, DEL-1/DS-02) to DDPM_2_1 (DEL-12/DS-08) -- the earlier mapping incorrectly conflated extreme-event statistics with climatology grid data; shares DDPM source with REQ-001 and REQ-049"
