Term_ID,Canonical_Name_EN,Canonical_Name_TH,Business_Definition_EN,Business_Definition_TH,Technical_Definition_Tier2,Source_Anchor,Semantic_Owner,CDM_Entity_Link,Usage_Tags,Status
TERM_001,Hazardous Event,เหตุการณ์ภัยอันตราย,The manifestation of a hazard in a particular place during a particular period of time. Annotation: Severe hazardous events can lead to a disaster as a result of the combination of hazard occurrence and other risk factors.,,A discrete spatiotemporal object representing a shock; requires a unique ID (e.g. WMO-CHE UUID).,Sendai / ISO 14091,DCCE Adaptation,HAZARDOUS_EVENT,#Hazard #Event,Approved_Core
TERM_002,Climate Driver,ปัจจัยขับเคลื่อนสภาพภูมิอากาศ,A changing aspect of the climate system that influences a component of a human or natural system.,ปัจจัยที่ส่งผลต่อองค์ประกอบของระบบมนุษย์หรือธรรมชาติ,Continuous physical fields or Climatic Impact-Drivers (CID) as defined by IPCC AR6.,IPCC AR6 / ISO 14091,DCCE Mitigation,CLIMATE_DRIVER,#Climate #Driver,Approved_Core
TERM_003,Exposure,การเปิดรับภัย,"The presence of people; livelihoods; species or ecosystems; environmental functions, services, and resources; infrastructure; or economic, social, or cultural assets in places and settings that could be adversely affected.",การมีอยู่ของประชากร วิถีชีวิต ระบบนิเวศ ทรัพยากร และโครงสร้างพื้นฐานในพื้นที่ที่อาจได้รับผลกระทบ,The spatial intersection of a hazard's intensity/extent with an asset inventory.,ISO 14091 / IPCC / UNDRR,DCCE Adaptation,(Spatial Relation),#Exposure #Spatial,Approved_Core
TERM_004,Vulnerability,ความเปราะบาง,"The propensity or predisposition of a person, demographic group, ecosystem, species, or asset to be adversely affected. Vulnerability encompasses a variety of concepts including sensitivity and lack of capacity.",แนวโน้มหรือความพร้อมที่จะได้รับผลกระทบในทางลบ ครอบคลุมถึงความอ่อนไหวและการขาดความสามารถในการรับมือ,The intrinsic predisposition to be adversely affected; a function of Sensitivity and Adaptive Capacity.,IPCC / ISO 14091,DCCE Adaptation,VULNERABILITY_DEFINITION,#Vulnerability,Approved_Core
TERM_005,Risk,ความเสี่ยง,"The potential for adverse consequences for human or ecological systems, recognising the diversity of values and objectives associated with such systems.",ศักยภาพที่อาจเกิดผลกระทบในทางลบต่อระบบมนุษย์หรือระบบนิเวศ,"Calculated potential consequences (Risk = f(Hazard, Exposure, Vulnerability)).",IPCC / ISO 14091,DCCE Adaptation,RISK_ASSESSMENT,#Risk #Process,Approved_Core
TERM_006,Loss & Damage,ความสูญเสียและความเสียหาย,"Harm from observed impacts and projected risks, which can be economic or non-economic.",ความเสียหายที่เกิดขึ้นจริงหรือคาดว่าจะเกิดขึ้น ทั้งในเชิงเศรษฐกิจและสังคม,Deterministic outcome records categorized by Sendai Targets A-D.,Sendai Framework / IPCC,DCCE Adaptation,LOSS_DAMAGE_RECORD,#Impact #Sendai,Approved_Core
TERM_007,Attribution,การระบุสาเหตุ,The process of evaluating the relative contributions of multiple causal factors to a change or event with an assessment of confidence.,กระบวนการประเมินปัจจัยต่างๆ ที่เป็นสาเหตุของการเปลี่ยนแปลงหรือเหตุการณ์ โดยมีการระบุระดับความเชื่อมั่น,The formal logical link between a Loss Record and its Cause (Event or Driver).,IPCC,DCCE Adaptation,ATTRIBUTION_LINK,#Methodology,Approved_Core
TERM_008,Climate Change Adaptation,การปรับตัวต่อการเปลี่ยนแปลงสภาพภูมิอากาศ,The process of adjustment to actual or expected climate and its effects to minimize harm.,กระบวนการปรับตัวเพื่อรับมือกับผลกระทบจากสภาพภูมิอากาศเพื่อลดความเสียหาย,Iterative organizational process (Establish > Plan > Implement > M&E) per ISO 14090.,ISO 14090 / IPCC,DCCE Adaptation,ADAPTATION_PROJECT,#Adaptation,Approved_Core
TERM_010,Exposed Asset,สินทรัพย์ที่เปิดรับภัย,"Physical or social elements (people, buildings, crops) located in hazard-prone areas.",สินทรัพย์ทางกายภาพหรือสังคมที่ตั้งอยู่ในพื้นที่เสี่ยงภัย,Entities in the exposure inventory ideally aligned to GED4ALL/TGEIS taxonomies.,GED4ALL / TGEIS,DCCE Adaptation,EXPOSED_ASSET,#Exposure #Asset,Approved_Core
TERM_011,Vulnerability Determinant,ปัจจัยกำหนดความเปราะบาง,"Individual variables or indicators (e.g., poverty rate, education) that influence vulnerability.",ตัวแปรหรือตัวชี้วัดที่ส่งผลต่อระดับความเปราะบาง,"Neutral socio-economic indicators used as variables in a vulnerability framework.This entity encompasses a multiutude of variables collected from varius line agencies. They are used in risk assessment, vulnerability assessment, resilience assessment, and adaptation planning",ISO 14091,DCCE Adaptation,VULNERABILITY_DETERMINANT,#Vulnerability #Data,Approved_Core
