ID,Name,Title,Description,Maintainer,Maintainer Email,Created Date,Last Updated Date,Data Category,Data Language,Geo Coverage,Update Frequency,Objective,Tags,Resource Formats,Resource URLs
"de016500-d359-4c9b-932e-d95284bdbd15","dcce-policy-strategies","แผนปฏิบัติราชการ","แสดงแผนยุทธศาสตร์หรือแผนพัฒนาของหน่วยงานที่มีระยะมากกว่า 1 และมีระยะเวลาบังคับใช้ครอบคลุมปีงบประมาณ พ.ศ. 2569 โดยมีรายละเอียดอย่างน้อยประกอบด้วย
(1) ยุทธศาสตร์หรือแนวทาง
(2) เป้าหมาย
(3) ตัวชี้วัด
แผนปฏิบัติราชการ ระยะ 5 ปี กรมการเปลี่ยนแปลงสภาพภูมิอากาศและสิ่งแวดล้อม ดำเนินการตามพระราชกฤษฎีกาว่าด้วยหลักเกณฑ์และวิธีการบริหารกิจการบ้านเมืองที่ดี พ.ศ. 2546 (และที่แก้ไขเพิ่มเติม) มาตรา 9 และ มาตรา 16 ซึ่งกำหนดให้ส่วนราชการจัดทำแผนปฏิบัติราชการ 5 ปี ที่ต้องสอดคล้องกับยุทธศาสตร์ชาติ แผนแม่บท แผนการปฏิรูปประเทศ แผนพัฒนาเศรษฐกิจและสังคมแห่งชาติ และนโยบายคณะรัฐมนตรี เพื่อให้เกิดประโยชน์สุข ผลสัมฤทธิ์ และความคุ้มค่า โดยส่วนราชการ ต้องนำแผนปฏิบัติราชการ 5 ปี  ที่ผ่านความเห็นชอบจากรัฐมนตรีเจ้าสังกัด (แผนระดับที่ 3) เข้าสู่ระบบการติดตามและประเมินผลแห่งชาติ (eMENSCR) เพื่อรายงานผลสัมฤทธิ์ต่อไป","สำนักงานเลขานุการกรม","plandcce2025@gmail.com","2024-06-12","2026-05-06","ข้อมูลสาธารณะ","ไทย","ไม่มี","ปี","เพื่อการให้บริการประชาชน, พันธกิจหน่วยงาน, อื่นๆ","ITA, OIT, การเปิดเผยข้อมูลสาธารณะ, นโยบาย, แผนงาน, แผนปฏิบัติราชการ, แผนพัฒนาหน่วยงาน, แผนยุทธศาสตร์","PDF, PDF, CSV","https://www.dcce.go.th/wp-content/uploads/2024/06/แผนปฏิบัติราชการระยะ-5-ปี-พ.ศ.-2566-2570.pdf, https://www.dcce.go.th/wp-content/uploads/2025/06/แผนปฏิบัติราชการระยะ-5-ปี-พ.ศ.2566-2570-ฉบับปรับปรุง-พ.ศ.-2568-1.pdf, https://dgf.dcce.go.th/dataset/de016500-d359-4c9b-932e-d95284bdbd15/resource/cebee5e4-5cfe-46c5-bee8-e8cbec52c383/download/untitled.csv"
"1f772d6e-a230-42f3-9ddf-08ffdd932f31","director_dcce","ข้อมูลผู้บริหาร","ข้อมูลผู้บริหารกรมการเปลี่ยนแปลงสภาพภูมิอากาศและสิ่งแวดล้อม(กรมฯ) เป็นบัญชีข้อมูลที่มีวัตถุประสงค์เพื่อการเปิิดเผยข้้อมููลสาธารณะ สำหรับเผยแพร่ต่อสาธารณชน โดยที่ประชาชนสามารถเข้้าถึึงข้้อมููลได้้จากเว็็บไซต์์หลัักของกรมฯ  โดยข้อมูลในบัญชีนี้ ประกอบด้วย คำนำหน้านาม ชื่อ ชื่อสุกล ชื่อตำแหน่ง ประเภทตำแหน่ง ระดับตำแหน่ง สังกัด หน่วยงานภายใต้การกำกับดูแลหรือการมอบหมายหน้าที่ ช่องทางการติดต่อ (หมายเลขโทรศัพท์) ช่องทางการติดต่อ (ไปรษณีย์อิเล็กทรอนิกส์) และรูปถ่าย","กลุ่มบริหารทรัพยากรบุคคล","hr_dcce@dcce.mail.go.th","2026-05-11","2026-05-11","ข้อมูลสาธารณะ","ไทย","ไม่มี","ครึ่งปี","เพื่อการให้บริการประชาชน, กฎหมายที่เกี่ยวข้อง, อื่นๆ","ITA, OIT, การเปิดเผยข้อมูลสาธารณะ, ข้อมูลข้าราชการ, ข้อมูลบุคลากร, ข้อมูลผู้บริหาร, ข้าราชการ, งานบริหารทรัพยากรบุคคล, งานบุคคล, บุคลากร, ผู้บริหาร","CSV","https://dgf.dcce.go.th/dataset/1f772d6e-a230-42f3-9ddf-08ffdd932f31/resource/011c76f8-d279-41af-b20c-a0f4b33c2f77/download/untitled.csv"
"8ca86986-ffa1-4465-827b-93dedfc46966","db0606-002","รายชื่อองค์กรปกครองส่วนท้องถิ่นที่ได้รับรางวัลชนะเลิศเมืองสิ่งแวดล้อมยั่งยืน","รายชื่อองค์กรปกครองส่วนท้องถิ่นที่ได้รับรางวัลชนะเลิศเมืองสิ่งแวดล้อมยั่งยืน หมายถึง รายชื่อของเทศบาลหรือองค์การบริหารส่วนตำบลที่ได้รับการคัดเลือกและประกาศเกียรติคุณให้เป็นผู้ชนะเลิศในโครงการเมืองสิ่งแวดล้อมยั่งยืน ซึ่งจัดโดยกรมการเปลี่ยนแปลงสภาพภูมิอากาศและสิ่งแวดล้อม กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม เพื่อยกย่องและเชิดชูองค์กรปกครองส่วนท้องถิ่นที่มีการบริหารจัดการเมืองอย่างมีประสิทธิภาพในด้านสิ่งแวดล้อม สังคม เศรษฐกิจ และธรรมาภิบาล โดยผ่านเกณฑ์การประเมินมาตรฐานใน 4 มิติ ได้แก่ เมืองอยู่ดี คนมีสุข สิ่งแวดล้อมยั่งยืน 
เมืองแห่งการบริหารจัดการที่ดี","กลุ่มส่งเสริมการจัดการสิ่งแวดล้อมเมืองยั่งยืน","sustainablecitydcce@gmail.com","2012-07-13","2026-03-20","ข้อมูลสาธารณะ","ไทย","เทศบาล/อบต.","ปี","แผนแม่บทภายใต้ยุทธศาสตร์ชาติ","เมืองสิ่งแวดล้อมยั่งยืน","XLS","https://dgf.dcce.go.th/dataset/8ca86986-ffa1-4465-827b-93dedfc46966/resource/4b252b2c-a67a-42d9-a281-2196a9a8d318/download/untitled.xlsx"
"a239515b-3044-49d4-a16c-a009be2b0295","db0307-001","รายชื่อโรงเรียนที่ได้รับการรับรองเป็นโรงเรียนอีโคสคูล ตามระดับ","           โรงเรียนอีโคสคูล (Eco-School) คือ โรงเรียนที่มีการพัฒนาโรงเรียนทั้งระบบ (Whole School Approach) เพื่อสนับสนุนกระบวนการเรียนรู้ที่ส่งเสริมและพัฒนานักเรียนให้เติบโตขึ้น เป็นพลเมืองที่มีความรับผิดชอบ ตระหนักต่อปัญหาสิ่งแวดล้อมและการพัฒนาของท้องถิ่น มีความรู้ ความเข้าใจ อันเป็นผลจากกระบวนการเรียนรู้และการลงมือปฏิบัติจริง และพร้อมที่จะเข้าไปมีบทบาท ในการป้องกัน ฟื้นฟู รักษา และใช้ประโยชน์จากสิ่งแวดล้อมอย่างยั่งยืนต่อไป 
           ปัจจุบัน (2568) มี ร.ร.อีโคสคูล ระดับต้นจำนวน 1,753 โรงเรียน / ร.ร.อีโคสคูล ระดับกลาง จำนวน 105 โรงเรียน และ ร.ร.อีโคสคูล ระดับสูงจำนวน 12 โรงเรียน","กองขับเคลื่อนการปรับตัวต่อการเปลี่ยนแปลงสภาพภูมิอากาศ","thailandecoschool@gmail.com","2022-04-28","2025-07-02","ข้อมูลสาธารณะ","ไทย","จังหวัด","ปี","พันธกิจหน่วยงาน","สิ่งแวดล้อมศึกาษา, อีโคสคูล, โรงเรียน","PDF, PDF, PDF, PDF, PDF, PDF, PDF, PDF, PDF","https://dgf.dcce.go.th/dataset/a239515b-3044-49d4-a16c-a009be2b0295/resource/8a0043b0-c837-4c2f-897e-894e3c5437f0/download/untitled.pdf, https://dgf.dcce.go.th/dataset/a239515b-3044-49d4-a16c-a009be2b0295/resource/f181e54a-558a-4cfd-b45b-6426866b0d0f/download/untitled.pdf, https://dgf.dcce.go.th/dataset/a239515b-3044-49d4-a16c-a009be2b0295/resource/c5456ade-46ef-418a-8821-2e3c1fa18a48/download/untitled.pdf, https://dgf.dcce.go.th/dataset/a239515b-3044-49d4-a16c-a009be2b0295/resource/252335dd-efed-4a37-8e1b-fa936adb554c/download/untitled.pdf, https://dgf.dcce.go.th/dataset/a239515b-3044-49d4-a16c-a009be2b0295/resource/8f338888-5443-4f21-81cb-a24b24aaa937/download/untitled.pdf, https://dgf.dcce.go.th/dataset/a239515b-3044-49d4-a16c-a009be2b0295/resource/6c1eb212-7d0e-4f7e-8fdd-baffd35cc946/download/untitled.pdf, https://dgf.dcce.go.th/dataset/a239515b-3044-49d4-a16c-a009be2b0295/resource/43fe1324-38cd-4f90-bdc9-6142a38318f8/download/untitled.pdf, https://dgf.dcce.go.th/dataset/a239515b-3044-49d4-a16c-a009be2b0295/resource/01ed514e-f977-4d47-b2e6-063eb57a4dcf/download/untitled.pdf, https://dgf.dcce.go.th/dataset/a239515b-3044-49d4-a16c-a009be2b0295/resource/c7e22953-2c03-4daa-979d-da6d1d30f878/download/untitled.pdf"
"94148d71-c60d-4586-b70e-ebb1aaa2b9ae","db0303-001","ข้อมูลความเสี่ยงจากการเปลี่ยนแปลงสภาพภูมิอากาศ","ข้อมูลความเสี่ยงเชิงพื้นที่จากการเปลี่ยนแปลงสภาพภมิอากาศทั้ง 6 สาขา ได้แก่ การจัดการน้ำ การเกษตรและความมั่นคงทางอาหาร การท่องเที่ยว สาธารณสุข การจัดการทรัพยากรธรรมชาติ และการตั้งถิ่นฐานและความมั่นคงของมนุษย์ เป็นฐานข้อมูลที่คํานวณจากข้อมูล 2 ส่วนหลัก ได้แก่ ข้อมูลการคาดการณ์ภูมิอากาศ (Climate Projection) จากการย่อส่วนแบบจําลองภูมิอากาศโลก และข้อมูลที่ไม่ใช่ภูมิอากาศ ซึ่งรวบรวมจากข้อมูลสถิติทางเศรษฐกิจ สังคม สิ่งแวดล้อม รวมถึง ข้อมูลทางกายภาพอื่น ๆ ที่เกี่ยวข้อง ข้อมูลการคาดการณ์ภูมิอากาศ ดังกล่าวใช้ในการประเมินดัชนีภัยอันตรายจากภูมิอากาศ 3 ด้าน ได้แก่ ภัยอันตรายจากความร้อน น้าท่วม และน้ำแล้ง โดยแต่ละสาขามีตัวแปรที่แตกต่างกันตามบริบทและมิติของสาขา","กองขับเคลื่อนการปรับตัวต่อการเปลี่ยนแปลงสภาพภูมิอากาศ","climaterisk.adapt@gmail.com","2024-08-22","2021-09-30","ข้อมูลสาธารณะ","ไทย","จังหวัด","ปี","เพื่อการให้บริการประชาชน, พันธกิจหน่วยงาน","climate change, การปรับตัว, การเปลี่ยนแปลงสภาพภูมิอากาศ, ความเสี่ยง, ฐานข้อมูลความเสี่ยง, น้ำท่วม, น้ำแล้ง, ภัยแล้ง, แผนที่ความเสี่ยง","HTML","https://ccic.dcce.go.th/riskarea"
"731a8461-1757-4c1f-8eee-69d763304ece","db-4-3-1","ปริมาณการลดก๊าซเรือนกระจก ภายใต้ NDC 2030","ปริมาณการลดก๊าซเรือนกระจก ภายใต้ NDC แยกมาตรการ จาก 5 สาขา ได้แก่ สาขาพลังงาน คมนาคมขนส่ง กระบวนการอุตสาหกรรมและการใช้ผลิตภัณฑ์ การจัดการของเสียชุมชนและน้ำเสียอุตสาหกรรม และเกษตร ปี พ.ศ. 2564–2573","กลุ่มประเมินผลการลดก๊าซเรือนกระจก","gres@dcce.mail.go.th","2024-07-31T08:37:16.010111","2025-07-07","ข้อมูลสาธารณะ","ไทย","ประเทศ","ปี","ยุทธศาสตร์ชาติ","Climate Change, IPCC, NDC, UNFCCC, ghg reduction, การเปลี่ยนแปลงสภาพภูมิอากาศ, ก๊าซเรือนกระจก, คาร์บอน, ปริมาณการลดก๊าซเรือนกระจก ภายใต้ NDC, ผลการลดก๊าซเรือนกระจก","CSV","https://dgf.dcce.go.th/dataset/731a8461-1757-4c1f-8eee-69d763304ece/resource/27929ada-d340-498b-9045-49ab1afad6f3/download/ghg-reduction_ndc_2564-2573.csv"
"9fb48e26-67fc-4336-a35d-aeae6b165675","dataset_o22","รายงานผลการดำเนินการตามแผนบริหารจัดการความเสี่ยงการทุจริตของหน่วยงาน","แสดงข้อมูลรายงานการประเมินความเสี่ยงการทุจริตของหน่วยงานภาครัฐ ประจำปีงบประมาณ พ.ศ. 2568 ที่มีรายละเอียดอย่างน้อยประกอบด้วย
(1) ประเด็นความเสี่ยงการทุจริต
(2) ระดับของความเสี่ยง
(3) วิธีการในการบริหารจัดการความเสี่ยง
(4) ผลการดำเนินการตามวิธีการในการบริหารจัดการความเสี่ยง","กลุ่มงานจริยธรรม","deqp_ethics@hotmail.com","2025-11-24","2026-05-06","ข้อมูลสาธารณะ","ไทย","ไม่มี","ปี","ยุทธศาสตร์ชาติ, แผนแม่บทภายใต้ยุทธศาสตร์ชาติ, แผนระดับที่ 3 (มติครม. 4 ธ.ค. 2560), นโยบายรัฐบาล/ข้อสั่งการนายกรัฐมนตรี, มติคณะรัฐมนตรี, กฎหมายที่เกี่ยวข้อง, พันธกิจหน่วยงาน, ดัชนี/ตัวชี้วัดระดับนานาชาติ, อื่นๆ","ITA, OIT, การทุจริตของหน่วยงาน, การเปิดเผยข้อมูลสาธารณะ, ความเสี่ยงการทุจริต, แผนบริหารจัดการความเสี่ยง","PDF, CSV","https://www.dcce.go.th/wp-content/uploads/2026/04/รายงานผลการดำเนินการเพื่อจัดการความเสี่ยง-2568.pdf, https://dgf.dcce.go.th/dataset/9fb48e26-67fc-4336-a35d-aeae6b165675/resource/c3bb85ac-97f5-4547-8609-0c74240d2a08/download/untitled.csv"
"54a41c5b-4762-4d39-b5f5-d832b86a4aaf","dataset_o9","คู่มือหรือแนวทางการขอรับบริการสำหรับผู้รับบริการหรือผู้มาติดต่อ","แสดงคู่มือการขอรับบริการหรือแนวทางการปฏิบัติที่ผู้รับบริการหรือผู้มาติดต่อกับหน่วยงานใช้เป็นข้อมูลในการขอรับบริการหรือติดต่อกับหน่วยงาน โดยมีรายละเอียดของแต่ละงาน อย่างน้อยประกอบด้วย 
(1) ชื่องาน
(2) วิธีการขั้นตอนการขอรับบริการ 
(3) ระยะเวลาที่ใช้ในการขอรับบริการ
(4) ช่องทางให้บริการ เช่น สถานที่ ส่วนงานที่รับผิดชอบ E-service One Stop Service
(5) ค่าธรรมเนียม
(6) รายการเอกสารหลักฐานประกอบการยื่นคำขอรับบริการ

","กลุ่มพัฒนาระบบบริหาร","psd_deqp@dcce.mail.go.th","2025-04-02","2026-05-08","ข้อมูลสาธารณะ","ไทย","ไม่มี","อื่นๆ","ยุทธศาสตร์ชาติ, แผนพัฒนาเศรษฐกิจและสังคมแห่งชาติ, แผนความมั่นคงแห่งชาติ, แผนแม่บทภายใต้ยุทธศาสตร์ชาติ, แผนปฏิรูปประเทศ, แผนระดับที่ 3 (มติครม. 4 ธ.ค. 2560), นโยบายรัฐบาล/ข้อสั่งการนายกรัฐมนตรี, มติคณะรัฐมนตรี, เพื่อการให้บริการประชาชน, กฎหมายที่เกี่ยวข้อง, พันธกิจหน่วยงาน, อื่นๆ","ITA, OIT, การเปิดเผยข้อมูลสาธารณะ, คู่มือ, คู่มือการปฏิบัติงาน, คู่มือการให้บริการ, ผู้รับบริการ","PDF, PDF, PDF, PDF, PDF, PDF, CSV","https://www.dcce.go.th/wp-content/uploads/2025/10/คู่มือการให้บริการ_แนวทางปฏิบัติผู้รับบริการไดออกซิน.pdf, https://www.dcce.go.th/wp-content/uploads/2025/10/กสบ.-คู่มือการขึ้นทะเบียนหน่วยงานรับดำเนินงานตรวจประเมิน-G-Green.pdf, https://www.dcce.go.th/wp-content/uploads/2025/10/คู่มือประเมินเมืองสิ่งแวดล้อมยั่งยืน-68.pdf, https://www.dcce.go.th/wp-content/uploads/2025/10/คู่มือการจดทะเบียน-NGOs-ฉบับภาษาไทย.pdf, https://www.dcce.go.th/wp-content/uploads/2025/04/คู่มือการให้บริการ-งานบริการข้อมูลข่าวสารของราชการ-ตาม-พรบ.ข้อมูลข่าวสารของราชการ-พ.ศ.-2540-O11.pdf, https://www.dcce.go.th/wp-content/uploads/2025/04/คู่มือประชาชน-3-งานบริการสื่อ-2567.pdf, https://dgf.dcce.go.th/dataset/54a41c5b-4762-4d39-b5f5-d832b86a4aaf/resource/08bffa3b-a5df-458a-92fc-30b9e13e85f7/download/untitled.csv"
"00eb55f3-c1dd-429d-9dc2-19bafed8521c","complain-guideline","แนวปฏิบัติการจัดการเรื่องร้องเรียนการทุจริตและประพฤติมิชอบ","แสดงคู่มือหรือแนวทางการดำเนินการต่อเรื่องร้องเรียนการทุจริตและประพฤติมิชอบของเจ้าหน้าที่ของหน่วยงาน ที่มีรายละเอียดอย่างน้อยประกอบด้วย 
(1) รายละเอียดของข้อมูลที่ผู้ร้องควรรู้เพื่อใช้ในการร้องเรียน เช่น ชื่อ-สกุล ของผู้ถูกร้อง ช่วงเวลาการกระทำความผิด พฤติการณ์การทุจริตและประพฤติมิชอบ 
(2) ช่องทางแจ้งเรื่องร้องเรียนการทุจริตและประพฤติมิชอบ 
(3) ขั้นตอนหรือวิธีการในการจัดการเรื่องร้องเรียนการทุจริตและประพฤติมิชอบ 
(4) ส่วนงานที่รับผิดชอบ 
(5) ระยะเวลาที่ใช้ในการดำเนินการ","กลุ่มกฎหมาย","legalaffairs.dcce@gmail.com","2025-04-11","2026-05-06","ข้อมูลสาธารณะ","ไทย","ไม่มี","อื่นๆ","เพื่อการให้บริการประชาชน, พันธกิจหน่วยงาน, อื่นๆ","ITA, OIT, การทุจริตและประพฤติมิชอบ, การร้องเรียนการทุจริต, การเปิดเผยข้อมูลสาธารณะ","PDF, CSV","https://www.dcce.go.th/wp-content/uploads/2025/04/คู่มือปฏิบัติงาน-การดำเนินการเรื่องร้องเรียนการทุจริตและประพฤติมิชอบ.pdf, https://dgf.dcce.go.th/dataset/00eb55f3-c1dd-429d-9dc2-19bafed8521c/resource/a4eb3ff0-c287-497e-8b00-c7bb624ab783/download/untitled.csv"
"df2a46df-cc63-4230-a285-63e3072a0573","2568","รายงานผลการดำเนินงานตามแผนปฏิบัติราชการ","แสดงผลการดำเนินงานตามแผนดำเนินงาน ประจำปีงบประมาณ พ.ศ. 2568 โดยมีรายละเอียดอย่างน้อยประกอบด้วย 
(1) ผลการดำเนินงานของแต่ละโครงการหรือกิจกรรม 
(2) งบประมาณที่ได้รับจัดสรรแต่ละโครงการหรือกิจกรรม
(3) ผลการใช้จ่ายงบประมาณที่ใช้ดำเนินงานแต่ละโครงการหรือกิจกรรม
(4) ช่วงระยะเวลาในการดำเนินงานแต่ละโครงการหรือกิจกรรม","กลุ่มแผนงานและติดตามประเมินผล สำนักงานเลขานุการกรม","evaluatedcce@gmail.com","2024-12-25","2026-05-06","ข้อมูลสาธารณะ","ไทย","ไม่มี","ปี","เพื่อการให้บริการประชาชน, พันธกิจหน่วยงาน, อื่นๆ","ITA, OIT, การเปิดเผยข้อมูลสาธารณะ, ผลการดำเนินงาน, ผลการปฏิบัติงาน, ผลสัมฤทธิ์","PDF, PDF, CSV","https://www.dcce.go.th/wp-content/uploads/2025/12/รายงานผลสัมฤทธิ์แผนปฏิบัติราชการ-ปี-2568-สส.pdf, https://www.dcce.go.th/wp-content/uploads/2025/03/รายงานผลสัมฤทธิ์ของแผนปฏิบัติราชการรายปี-พ.ศ.-2567.pdf, https://dgf.dcce.go.th/dataset/df2a46df-cc63-4230-a285-63e3072a0573/resource/a24ddc55-7d34-4b23-b7c8-6e6144c98c97/download/untitled.csv"
