"UC ID","Service Platform","Demand (Data Requirement)","Supply Status (Pillar 3 Evidence)","Readiness","Primary Gap / Blocker"
"UC-01","S07: การติดตามและประเมินผลการดำเนินนโยบายด้านการปรับตัว","NAP Progress Indicators, Sectoral Targets","No Institutional M&E data","Low","Missing reporting metadata. Needs Administrative Data ingestion."
"UC-02","S01: คลังข้อมูลภูมิอากาศและบริการรับรองข้อมูลทางการ","Hazard Baselines, Vulnerability Index","DCCE_3_1 to 3_7 (Risk Areas), TMD_6_25 (Adaptive Cap)","High","READY. Evidence base exists at Provincial/Sub-district level."
"UC-03","S01: คลังข้อมูลภูมิอากาศและบริการรับรองข้อมูลทางการ","Standardized Damage Functions","NESDC (L9-L15) Studies","Low","CRITICAL GAP. We have Studies (PDF), but no Executable Code/CSV for agencies to call."
"UC-04","S01: คลังข้อมูลภูมิอากาศและบริการรับรองข้อมูลทางการ","Probabilistic Flood Maps (10, 50, 100y)","GISTDA_5_1 (Annual Hazard Maps)","Medium","Missing Probabilistic Return Periods. We have historical extent, but not frequency-based modeling."
"UC-05","S05: ตัวแปรทางวิศวกรรมเพื่อการออกแบบโครงสร้างพื้นฐานที่มีภูมิคุ้มกัน","Rainfall Intensity, Peak Flow","Raw TMD Rainfall records","Low","Missing Climate-Adjusted IDF Curves. We have raw rainfall, but not the engineering conversion."
"UC-06","S05: ตัวแปรทางวิศวกรรมเพื่อการออกแบบโครงสร้างพื้นฐานที่มีภูมิคุ้มกัน","Inundation Depth at KM, Landslide Risk at KM","Raw TMD Rainfall records","Low","Missing Hydrological Conversion for transport routes."
"UC-07","S05: ตัวแปรทางวิศวกรรมเพื่อการออกแบบโครงสร้างพื้นฐานที่มีภูมิคุ้มกัน","Hazard Zonation, Land Use Suitability","DPT_1_1, DPT_1_2","Medium","Town plans exist but use historical rainfall; not yet climate-adjusted."
"UC-08","S05: ตัวแปรทางวิศวกรรมเพื่อการออกแบบโครงสร้างพื้นฐานที่มีภูมิคุ้มกัน","IDF Curves, Hourly Rainfall Intensity","Raw TMD Rainfall records (TMD_1_1)","Low","Missing Climate-Adjusted IDF Curves."
"UC-09","S04: การประเมินความสูญเสียและความเสียหายจากสภาพภูมิอากาศในอดีต","Direct Asset Damage, Indirect Economic Loss","DDPM_3_2 (Loss Records)","Medium","Missing Indirect/NEL Valuation (Non-economic loss)."
"UC-10","S07: การติดตามและประเมินผลการดำเนินนโยบายด้านการปรับตัว","SDG 13.1.1, Indicator 11.b.2","No Institutional M&E data","Low","Missing reporting metadata / Unified Baseline Metrics."
"UC-11","S07: การติดตามและประเมินผลการดำเนินนโยบายด้านการปรับตัว","Research Funding Allocation, TRL","No R&D tracking data in inventory","Low","Requires integration with MHESI/TSRI databases."
"UC-12","S07: การติดตามและประเมินผลการดำเนินนโยบายด้านการปรับตัว","Innovation Sandbox Locations, Market Demand","No market demand data in inventory","Low","Missing strategic economic mapping for adaptation tech."
"UC-13","S06: ระบบเฝ้าระวังและเตือนผลกระทบของภัยล่วงหน้าแบบพหุภัย","Water Supply-Demand Gap, Production Loss per m3","HII_2_1 (Drought Exposure), FTI_1_1","High","READY. EEC Water data and industrial demand exists."
"UC-14","S06: ระบบเฝ้าระวังและเตือนผลกระทบของภัยล่วงหน้าแบบพหุภัย","Reservoir Inflow Projections, Supply Projections","RID_1_11, RID_1_1","Medium","We have static capacities; need dynamic inflow modeling."
"UC-15","S02: การวิเคราะห์ความเสี่ยงในระดับพื้นที่ที่มีความละเอียดสูง","Permanent Inundation Risk, Habitability Score","DPT_1_1, GISTDA_5_1","Medium","Missing Habitability Score definitions."
"UC-16","S02: การวิเคราะห์ความเสี่ยงในระดับพื้นที่ที่มีความละเอียดสูง","Bedridden Patient Locations, Elderly Locations","DOPA_2_1 (Census Data), CDD_1_1","Medium","Privacy (PDPA) Blocker. Data exists but restricted at household level."
"UC-17","S06: ระบบเฝ้าระวังและเตือนผลกระทบของภัยล่วงหน้าแบบพหุภัย","Surface Temperature, Humidex, Cooling Center Locations","GISTDA/TMD Raw Surface Temp, BMA_2_4","Medium","Missing Real-time API Feed and urban heat island micro-data."
"UC-18","S03: หลักฐานสนับสนุนการตัดสินใจด้านการเงินและงบประมาณ","Pump Performance, Drainage Tunnel Capacity","BMA_2_3 (Drainage system asset)","Medium","Assets mapped, but lacks climate-adjusted runoff modeling for 100y storms."
"UC-19","S03: หลักฐานสนับสนุนการตัดสินใจด้านการเงินและงบประมาณ","Localized Hazard Intensity, Economic Value at Risk","DLA/Tesaban level hazards, DOPA_1_1","High","READY. Municipal demographic and hazard baseline exists."
"UC-20","S07: การติดตามและประเมินผลการดำเนินนโยบายด้านการปรับตัว","LPA Climate Indicators, Local Adaptation Progress","No LPA reporting data in inventory","Low","Needs Administrative Data ingestion from DLA."
