Thailand NFCS Action Plan (Propose),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,สีเขียว: มีการทำแล้วหรือทำบางส่วน / สีดำ: ยังไม่ได้ทำ,,,,,Timeframe,,,,,,,,,,,,,
Pillars Related,Goals,Objectives,Key Components,Strategies,Key Activities,Activities,Activities edited,Outputs,Frequency of Activities,Objective Indicators,Short term: 1-2 Years,Medium term: 3-4 Years,Long term: 5+ Years,"Responsible Agencies
(unverify)",Supporting Agencies,Cost (THB),Funding Sources,Methods of Verification,Frequency of Verification,Responsible Agencies,Related Pillars,Remark (Related projects),,
O&M,"เป้าหมาย 1: เสริมสร้างระบบการสังเกตการณ์และติดตามสภาพอากาศและภูมิอากาศ เพื่อสนับสนุนการบริหารจัดการความเสี่ยงด้านภูมิอากาศและการวางแผนสำหรับภาคการตั้งถิ่นฐานของมนุษย์
Goal 1: Enhance weather and climate observations and monitoring systems to support climate risk management and planning.",,,,,,,,,,,,,,,,,,,,,,,
,,"วัตถุประสงค์ 1.1: ขยายและปรับปรุงเครือข่ายการสังเกตการณ์และติดตามทั่วประเทศ โดยให้ความสำคัญกับบริบทเมืองและพื้นที่เปราะบางต่อภูมิอากาศ
Objective 1.1: Expand and modernize observation and monitoring networks  across the country, with priority for climate-vulnerable and urban context.",,,,,,,,"จำนวนและร้อยละของสถานีตรวจวัด (อุตุนิยมวิทยา อุทกวิทยา ภูมิสารสนเทศ) ที่ติดตั้งใหม่หรือได้รับการปรับปรุงในพื้นที่เป้าหมาย โดยเฉพาะพื้นที่เมืองและพื้นที่เปราะบาง เทียบกับ baseline

Number and % of meteorological, hydrological, and geospatial stations newly installed or modernized in target areas—particularly urban and climate-vulnerable areas—against baseline",,,,,,,,"รายงานการประเมินช่องว่างเครือข่าย และทะเบียน/ฐานข้อมูลสถานีตรวจวัดของ TMD/HII/RID/GISTDA

Network gap assessment report; station registries/databases of TMD, HII, RID, GISTDA",Annually,,,,,
,,,Climate Station Network,"กลยุทธ์ 1.1.1 การจัดตั้งสถานีตรวจวัดสภาพอากาศ ภูมิอากาศ ภูมิสารสนเทศ และอุทกวิทยา ในระดับชาติ ระดับภูมิภาค และระดับท้องถิ่น เพื่อขยายเครือข่ายการติดตามและเฝ้าระวังภูมิอากาศ และปรับปรุงการเข้าถึงข้อมูลภูมิอากาศให้ดียิ่งขึ้น

Strategy 1.1.1 Establishment of weather, climate, geospatial, and hydrology stations at national, sub-national, and local levels to expand climate observation and monitoring networks and improve the availability of climate data",Assess gaps,"กิจกรรม 1.1.1.1: ดำเนินการประเมินช่องว่างของเครือข่ายการสังเกตและเฝ้าติดตามข้อมูลด้านสภาพอากาศ ภูมิอากาศ ภูมิสารสนเทศ และอุทกวิทยา รวมถึงข้อมูลเชิงพื้นที่เพื่อสนับสนุนการใช้ข้อมูล โดยเฉพาะในพื้นที่เปราะบาง

Activity 1.1.1.1: Technical evaluation of existing national networks and systems for weather, climate, geospatial, and hydrology, including spatial data, to support data availability, particularly in climate-vulnerable areas.","กิจกรรม 1.1.1.1: ดำเนินการประเมินช่องว่างของเครือข่ายการสังเกตและเฝ้าติดตามข้อมูลด้านสภาพอากาศ ภูมิอากาศ ภูมิสารสนเทศ และอุทกวิทยา รวมถึงข้อมูลเชิงพื้นที่เพื่อสนับสนุนการใช้ข้อมูล โดยเฉพาะในพื้นที่เปราะบางเขตเมือง

Activity 1.1.1.1: Gaps evaluation of existing national networks and systems for weather, climate, geospatial, and hydrology, including spatial data, to support data availability, particularly in climate-vulnerable urban areas.","ผลผลิต 1.1.1.1: รายงานวิเคราะห์ช่องว่างของเครือข่ายด้านการสังเกตการณ์และการติดตามตรวจวัดในพื้นที่เขตเมือง

Output 1.1.1.1: Gap analysis report on the observation and monitoring networks in urban areas.",One time,,X,,,• TMD: กองตรวจและเฝ้าระวังสภาวะอากาศ,,,,,,,,,,
,,,,,Improve & expand weather monitoring network,"กิจกรรม 1.1.1.2: การปรับปรุงและขยายโครงสร้างพื้นฐานด้านการสังเกตการณ์และการติดตามตรวจวัดสำหรับข้อมูลด้านสภาพอากาศตามมาตรฐานสากลในพื้นที่ช่องว่างที่ระบุไว้

Activity 1.1.1.2: Modernisation of existing observation and monitoring infrastructure and establishment of new observation networks for weather data","กิจกรรม 1.1.1.2: การปรับปรุงและขยายโครงสร้างพื้นฐานด้านการสังเกตการณ์และการติดตามตรวจวัดสำหรับข้อมูลด้านสภาพอากาศตามมาตรฐานสากลในพื้นที่ช่องว่างที่ระบุไว้

Activity 1.1.1.2: Upgrading and Expanding of observation and monitoring infrastructure to international standard for weather data according to the identified gaps","ผลผลิต 1.1.1.2: สถานีสังเกตการณ์และติดตามสภาพอากาศใหม่ที่ติดตั้งและใช้งานได้ในพื้นที่ช่องว่างที่ระบุไว้

Output 1.1.1.2: New weather observation and monitoring stations installed and operational in identified gaps areas",Annually,,X,X,X,• TMD: กองตรวจและเฝ้าระวังสภาวะอากาศ,,,,,,,,,,
,,,,,Improve & expand  hydrology network,"กิจกรรม 1.1.1.3: การปรับปรุงและขยายโครงสร้างพื้นฐานด้านการสังเกตการณ์และการติดตามตรวจวัดสำหรับข้อมูลด้านอุทกวิทยาตามมาตรฐานสากลในพื้นที่ช่องว่างที่ระบุไว้

Activity 1.1.1.3: Modernisation and of existing observation and monitoring infrastructure and establishment of new observation networks for hydrological data","กิจกรรม 1.1.1.3: การปรับปรุงและขยายโครงสร้างพื้นฐานด้านการสังเกตการณ์และการติดตามตรวจวัดสำหรับข้อมูลด้านอุทกวิทยาตามมาตรฐานสากลในพื้นที่ช่องว่างที่ระบุไว้

Activity 1.1.1.3: Upgrading and expanding of observation and monitoring infrastructure to international standard for hydrological data according to the identified gaps","ผลผลิต 1.1.1.3: สถานีตรวจวัดอุทกวิทยาใหม่ที่ติดตั้งและใช้งานได้ในพื้นที่ช่องว่างที่ระบุไว้

Output 1.1.1.3: New hydrological observation stations installed and operational in identified gaps areas",Annually,,X,X,X,"• HII: ฝ่ายนวัตกรรมสารสนเทศทรัพยากรน้ำ งานโทรมาตร
• RID: สำนักบริหารจัดการน้ำและอุทกวิทยา",คณะทำงานหน่วยงานด้านน้ำ,,,,,,,,,
,,,,,Improve & expand  geospatial network,"กิจกรรม 1.1.1.4: การปรับปรุงและขยายเทคโนโลยีภูมิสารสนเทศเพื่อสนับสนุนข้อมูลและบริการด้านสภาพอากาศ ภูมิอากาศ ภูมิสารสนเทศ และอุทกวิทยา

Activity 1.1.1.4: Enhancement of satellite observation systems and receiving station networks for weather, climate, geospatial, and hydrological services","กิจกรรม 1.1.1.4: การปรับปรุงและขยายเทคโนโลยีภูมิสารสนเทศเพื่อสนับสนุนข้อมูลและบริการด้านสภาพอากาศ ภูมิอากาศ ภูมิสารสนเทศ และอุทกวิทยา ตามช่องว่างที่ระบุไว้

Activity 1.1.1.4: Upgrading and expanding of geospatial observation systems to support weather, climate, geospatial, and hydrological services according to the identified gaps","ผลผลิต 1.1.1.4: ระบบสังเกตการณ์ภูมิสารสนเทศที่ได้รับการปรับปรุงตามช่องว่างที่ระบุไว้

Output 1.1.1.4: Upgraded and expanded geospatial observation systems according to the identified gaps",Annually,,X,X,X,• GISTDA: สำนักประยุกต์และพัฒนาภูมิสารสนเทศ (สปภ),,,,,,,,,,
,,"วัตถุประสงค์ 1.2: เสริมสร้างการบูรณาการและความร่วมมือของระบบการสังเกตการณ์และติดตามระดับชาติ รวมถึงการกำหนดมาตรฐานข้อมูลและการจัดการคุณภาพข้ามเครือข่าย
Objective 1.2: Strengthen integration and collaboration of national observation and monitoring systems , including data standardization and quality management across networks.",,,,,,,,"จำนวนหน่วยงานที่ลงนาม MoU/ข้อตกลงแลกเปลี่ยนข้อมูล และมี Data Catalog มาตรฐานกลางที่ใช้ร่วมกันข้ามเครือข่าย

Number of agencies signing data-sharing MoUs/agreements, and a shared standardized data catalog in use across networks",,,,,,,,"สำเนา MoU ที่ลงนาม, Data Catalog กลาง, รายงานการประชุมคณะทำงานผู้ให้ข้อมูล

Signed MoUs, central data catalog, data-provider working group meeting minutes",Annually,,,,,
,,,O&M Stakeholder Collaboration,"กลยุทธ์ 1.2.1 เสริมสร้างความร่วมมือระหว่างหน่วยงานผู้ให้ข้อมูล ผ่านข้อตกลงอย่างเป็นทางการและการพัฒนาศักยภาพสำหรับผู้ที่มีระบบการสังเกตการณ์และติดตาม

Strategy 1.2.1 Strengthen collaboration among data provider agencies through formal agreements and capacity development for those with observation and monitoring systems",Establish MoU/ Agreements,"กิจกรรม 1.2.1.1: จัดทำข้อตกลง/บันทึกความเข้าใจในการแลกเปลี่ยนข้อมูล (MoU) ระหว่างผู้มีส่วนได้ส่วนเสียและคณะทำงาน
Activity 1.2.1.1: Develop agreements/MoUs among stakeholders and the working groups","กิจกรรม 1.2.1.1: จัดทำบันทึกความเข้าใจในการแลกเปลี่ยนข้อมูล (MoU) ระหว่างหน่วยงานในคณะทำงาน

Activity 1.2.1.1: Develop data sharing MoUs among agencies in the working groups","ผลผลิต 1.2.1.1: บันทึกความเข้าใจ (MoU) ในการแลกเปลี่ยนข้อมูลระหว่างหน่วยงานในคณะทำงาน

Output 1.2.1.1: Data sharing MoUs between agencies in the working groups",One time,,X,,,• TMD: ศูนย์ภูมิอากาศ,,,,,,,,,,
,,,,,Participate network system trainings and seminars,"กิจกรรม 1.2.1.2: จัดการประชุมคณะทำงานที่เป็นเจ้าของระบบตรวจวัดอย่างสม่ำเสมอ เพื่อเสริมสร้างความร่วมมือระหว่างเครือข่าย

Activity 1.2.1.2: Conduct regular working group meetings among observation system owners to improve collaboration","กิจกรรม 1.2.1.2: จัดการประชุมคณะทำงานที่เป็นเจ้าของระบบตรวจวัดอย่างสม่ำเสมอ เพื่อเสริมสร้างความร่วมมือระหว่างเครือข่าย

Activity 1.2.1.2: Conduct regular working group meetings among observation system owners to improve collaboration","ผลผลิต 1.2.1.2: การประชุมระหว่างเจ้าของระบบตรวจวัดในคณะทำงานปีละ 1 ครั้ง

Output 1.2.1.2: Annually meeting among observation system owners in the working group",,,X,X,X,• TMD: ศูนย์ภูมิอากาศ,,,,,,,CD,,,
