Parent_Entity,Child_Entity,Cardinality,Business_Rule,Remark
SPATIAL_UNIT,METEOROLOGICAL_OBSERVATION,1:N,Spatial unit anchors measured meteorological data.,
SPATIAL_UNIT,CLIMATE_DRIVER,1:N,Spatial unit anchors slow-onset physical driver data.,
SPATIAL_UNIT,ENVIRONMENTAL_DATA,1:N,Spatial unit anchors registered physical environmental datasets.,
INSTITUTIONAL_BODY,ENVIRONMENTAL_DATA,1:N,Agencies serve as custodians and curating bodies for environmental datasets.,
CLIMATE_SCENARIO,CLIMATE_PROJECTION,1:N,Climate scenario drives multiple projected output variables.,
CLIMATE_DRIVER,CLIMATE_PROJECTION,1:N,Climatic driver forms the baseline variables for future projections.,
SPATIAL_UNIT,CLIMATE_PROJECTION,1:N,Future projections are spatially bounded.,
ENVIRONMENTAL_DATA,HAZARD_MODELS,N:M,Models ingest environmental variables as critical inputs.,
CLIMATE_DRIVER,HAZARD_MODELS,1:N,Drivers act as forcing inputs to computational models.,
HAZARD_MODELS,HAZARD_MAP,1:N,Models simulate intensity and extent based on inputs.,
SPATIAL_UNIT,HAZARD_MAP,1:N,Hazard maps are spatially located.,
SPATIAL_UNIT,EXPOSED_ASSET,1:N,Administrative spatial boundaries contain exposed assets.,
VULNERABILITY_FRAMEWORK,VULNERABILITY_DIMENSION,1:N,Frameworks are composed of thematic pillars (Sensitivity etc).,
VULNERABILITY_DIMENSION,VULNERABILITY_STRUCTURE,1:N,Dimensions define the weighting and variable mapping logic.,
VULNERABILITY_STRUCTURE,VULNERABILITY_DETERMINANT,N:1,Indicators are neutral facts stored in a shared library.,
VULNERABILITY_FRAMEWORK,IMPACT_FUNCTION,1:N,Framework defines mathematical curves relating hazard to damage.,
RISK_ANALYSIS,RISK_METRIC,1:N,Analysis produces quantitative metrics (e.g. Expected Annual Loss).,
RISK_ANALYSIS,COMPOSITE_INDEX,1:N,Analysis produces unitless policy scores and index-based values.,
SPATIAL_UNIT,RISK_ANALYSIS,1:N,Risk calculations are performed at spatial unit levels.,
HAZARDOUS_EVENT,DISASTER_EVENT,1:N,A hazardous event realization anchors a disaster event.,
DISASTER_EVENT,EVENT_LOCATION,1:N,A single disaster event is mapped to multiple location entities.,
SPATIAL_UNIT,DISASTER_EVENT,1:N,Disaster events are anchored to administrative boundaries.,
DISASTER_EVENT,ASSESSMENT_CONTEXT,1:N,A disaster event triggers multiple staged assessment contexts.,
ASSESSMENT_CONTEXT,LD_PHYSICAL_DAMAGE,1:N,Assessment contexts validate specific physical damage records.,
ASSESSMENT_CONTEXT,LD_ECONOMIC_LOSS,1:N,Assessment contexts validate specific economic flow loss records.,
ASSESSMENT_CONTEXT,LD_RECOVERY_RECONSTRUCTION_NEEDS,1:N,Assessment contexts derive recovery and rehabilitation needs.,
DISASTER_EVENT,LD_PHYSICAL_DAMAGE,1:N,Physical damage records link back to the parent disaster event.,
DISASTER_EVENT,LD_ECONOMIC_LOSS,1:N,Economic loss records link back to the parent disaster event.,
DISASTER_EVENT,LD_RECOVERY_RECONSTRUCTION_NEEDS,1:N,Recovery needs link back to the parent disaster event.,
DISASTER_EVENT,ENVIRONMENTAL_LOSS_RECORD,1:N,Disasters record ecological destruction.,
DISASTER_EVENT,RELIEF_PAYMENT_RECORD,1:N,Disasters track government compensation relief disbursements.,
DISASTER_EVENT,ATTRIBUTION_LINK,1:N,Attribution link bridges disaster records to causal drivers.,
CLIMATE_DRIVER,ATTRIBUTION_LINK,N:1,Attributes loss to specific physical drivers.,
RESILIENCE_FRAMEWORK,RESILIENCE_DIMENSION,1:N,Methodology defines the thematic pillars of resilience.,
RESILIENCE_DIMENSION,RESILIENCE_STRUCTURE,1:N,Weighting and aggregation logic per resilience dimension.,
RESILIENCE_STRUCTURE,VULNERABILITY_DETERMINANT,N:1,Resilience logic reuses the same neutral indicators.,
SPATIAL_UNIT,RESILIENCE_ASSESSMENT,1:N,Resilience scores are calculated at spatial unit levels.,
SPATIAL_UNIT,ADAPTATION_OUTCOME,1:N,Spatial unit monitors regional/national adaptation outcome indicators.,Resolves MEL output-outcome level mismatch
DECISION_CONTEXT,ADAPTATION_PORTFOLIO,1:N,Planning context informs collective adaptation portfolios.,
ADAPTATION_PORTFOLIO,ADAPTATION_OPTION,1:N,Portfolios group multiple adaptation solution options.,
ADAPTATION_OPTION,APPRAISAL_EVENT,1:N,Adaptation options are evaluated via appraisal events.,
APPRAISAL_EVENT,APPRAISAL_METRIC,1:N,Appraisals generate detailed appraisal outcome metrics.,
ADAPTATION_OPTION,ADAPTATION_PROJECT,1:N,Options are implemented as specific resource-bound projects.,
INSTITUTIONAL_BODY,ADAPTATION_PROJECT,1:N,Government agencies manage the implementation of projects.,
ADAPTATION_PROJECT,ADAPTATION_OUTPUT,1:N,Projects achieve measurable output milestones.,
ADAPTATION_PROJECT,ADAPTATION_PROJECT_OUTCOME_CONTRIBUTION,1:N,Projects contribute to systemic outcomes via an associative bridge.,Resolves MEL output-outcome level mismatch
ADAPTATION_OUTCOME,ADAPTATION_PROJECT_OUTCOME_CONTRIBUTION,1:N,Outcomes receive project contributions via an associative bridge.,Resolves MEL output-outcome level mismatch
ADAPTATION_PROJECT,BUDGET_TAG_RECORD,1:N,Projects track domestic climate budget tag allocations.,
ADAPTATION_PROJECT,SUPPORT_TRACKING_RECORD,1:N,Projects track international support received.,
ADAPTATION_PROJECT,FUNDING_SOURCE,N:1,Projects track capital origin sources.,
DECISION_CONTEXT,RISK_TOLERANCE_PROFILE,1:N,Planning context limits based on stakeholder risk appetite.,
